*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 19950101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   1995   1  130000   0.2   3.8  0.71   4.6   8.3
1   1995   2  226000  -1.2   5.9  0.72   4.6   3.2
1   1995   3  141000  -3.8   2.3  0.58   2.1   0.0
1   1995   4  420000  -4.8   0.3  0.52   2.6   0.0
1   1995   5  458000  -5.9  -1.8  0.46   5.7   0.0
1   1995   6  122000  -4.5  -1.1  0.50   3.6   5.9
1   1995   7  285000  -7.9  -0.8  0.44   1.5   0.0
1   1995   8   64000  -2.6   3.5  0.63   4.1   5.3
1   1995   9  174000  -0.9   8.6  0.80   5.1  10.2
1   1995  10  136000   2.1   7.8  0.87   5.1   7.3
1   1995  11  279000   1.0   5.6  0.77   4.1   3.7
1   1995  12  322000  -0.5   5.1  0.72   4.6   0.7
1   1995  13  227000  -1.3   6.1  0.73   2.6   0.0
1   1995  14  102000   4.3   7.5  0.93   4.1   1.3
1   1995  15   59000   6.7   8.2  1.03   4.6   1.8
1   1995  16  429000   1.6   7.7  0.85   6.2   0.0
1   1995  17  378000   1.0   7.3  0.82   7.2   0.0
1   1995  18  145000   3.4   9.4  0.96   5.7   1.3
1   1995  19  283000   2.3   8.4  0.89   7.2   2.1
1   1995  20  398000   5.4  10.2  1.06   7.2   0.0
1   1995  21  368000   4.3   8.6  0.96   7.7   4.6
1   1995  22   93000   3.9  12.1  1.07   7.2  18.2
1   1995  23  297000   4.4   8.1  0.95   8.7   4.4
1   1995  24  252000   5.1   7.9  0.97   7.2   1.0
1   1995  25  171000   3.7  11.5  1.04   3.1   5.2
1   1995  26   45000   1.9  12.2  1.00   8.2  12.5
1   1995  27  367000   0.3   4.7  0.73   5.7   9.5
1   1995  28  239000   3.5  10.0  0.98   7.7   5.8
1   1995  29  110000   5.8   9.3  1.04   4.6  13.7
1   1995  30  468000  -1.3   6.4  0.73   3.1   0.2
1   1995  31  113000  -1.5   8.0  0.77   6.2   0.5
1   1995  32   60000   7.2  12.9  1.23   7.2   7.4
1   1995  33  574000   0.9   8.1  0.84   2.6   0.0
1   1995  34  398000   2.5   8.9  0.92   5.7   0.0
1   1995  35  196000   4.3  10.2  1.02   4.6   0.0
1   1995  36  118000   3.9   8.4  0.94   4.1   0.0
1   1995  37  114000   8.3  10.5  1.18   5.7   1.1
1   1995  38  139000   7.8   9.6  1.12   6.2   0.0
1   1995  39  104000   1.4   8.8  0.88   3.1   9.6
1   1995  40  351000  -1.6   5.0  0.69   1.5   0.0
1   1995  41  124000  -2.0   5.5  0.69   3.6   2.9
1   1995  42  163000   5.5  12.1  1.13   6.2   4.7
1   1995  43  708000   6.3  11.7  1.15   6.7   0.0
1   1995  44  285000   6.0  10.9  1.11   5.1   1.0
1   1995  45  518000   6.2  10.9  1.11   6.2   2.0
1   1995  46  400000   7.8  11.9  1.22   8.2  15.5
1   1995  47  431000   7.2  10.0  1.12   8.7   2.1
1   1995  48  540000   4.4  10.0  1.02   7.2   1.2
1   1995  49  411000   4.0   8.3  0.94   4.1   1.3
1   1995  50  397000   6.3  11.6  1.14   6.7  12.5
1   1995  51  488000   6.5  11.4  1.14   5.1   1.9
1   1995  52  176000   3.4  10.9  1.01   5.7   4.4
1   1995  53  920000   3.1   9.1  0.94   7.7   0.0
