*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 20120101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   2012   1   80000  10.2  12.9  1.36   5.8  14.2
1   2012   2  261000   4.6  10.3  1.03   4.5   0.0
1   2012   3   59000   4.8  10.7  1.05   8.7  10.6
1   2012   4  200000   5.4   8.6  1.00   7.1   8.0
1   2012   5  158000   4.9  10.2  1.04   8.3  11.9
1   2012   6  217000   4.2   8.8  0.97   5.2   1.2
1   2012   7  148000   5.1   9.4  1.02   5.6   4.9
1   2012   8  120000   5.5   8.4  1.00   3.7   0.0
1   2012   9  121000   6.5   9.5  1.07   3.4   0.1
1   2012  10  228000   2.2   9.3  0.92   2.9   0.0
1   2012  11   75000   7.5   9.0  1.09   3.6   1.0
1   2012  12  115000   5.2  10.5  1.06   5.5   0.1
1   2012  13  384000   3.7   7.5  0.91   3.3   0.6
1   2012  14  341000  -0.1   7.3  0.79   2.0   0.0
1   2012  15  322000  -2.1   6.6  0.72   1.9   0.0
1   2012  16  406000  -4.4   4.8  0.62   1.5   0.0
1   2012  17  410000  -5.3   6.1  0.63   1.9   0.0
1   2012  18  136000  -1.8   6.2  0.72   4.8   3.4
1   2012  19  117000   5.0   8.1  0.97   3.9  10.2
1   2012  20  218000   2.4   6.8  0.85   4.3   1.3
1   2012  21  146000   3.4  10.9  1.01   6.3   4.3
1   2012  22  159000   5.0   9.9  1.03   6.1   4.0
1   2012  23  384000   2.9   8.0  0.90   3.6   3.3
1   2012  24  208000   0.0   5.9  0.75   2.1   0.0
1   2012  25  200000   2.9   5.2  0.82   3.8   0.0
1   2012  26   80000   3.6   6.2  0.87   4.4   5.4
1   2012  27  478000   1.4   8.0  0.85   3.5   0.0
1   2012  28  503000  -1.1   6.8  0.75   2.3   0.0
1   2012  29  162000  -1.7   0.8  0.59   3.1   0.0
1   2012  30   71000  -2.7  -1.2  0.53   2.8   0.1
1   2012  31  571000  -6.6  -1.1  0.46   4.6   0.0
1   2012  32  646000  -7.9  -1.3  0.43   5.5   0.0
1   2012  33  667000  -8.8  -3.5  0.39   4.8   0.0
1   2012  34  204000 -15.9  -5.1  0.27   2.3   2.9
1   2012  35  899000 -18.9  -4.5  0.25   1.5   0.0
1   2012  36  606000 -10.2  -5.1  0.34   2.9   0.0
1   2012  37  714000 -14.6  -3.3  0.31   2.2   0.0
1   2012  38  721000 -15.3  -3.7  0.30   3.8   0.0
1   2012  39  558000  -8.9  -0.9  0.42   4.5   0.0
1   2012  40  212000  -9.7   0.5  0.43   2.7   0.0
1   2012  41  868000 -10.8  -2.1  0.38   3.3   0.0
1   2012  42  794000 -11.9  -3.0  0.35   2.5   0.0
1   2012  43  293000  -9.8  -0.5  0.42   1.9   0.4
1   2012  44  334000  -0.5   5.0  0.72   2.2   1.3
1   2012  45  352000   3.1   5.9  0.84   3.8   3.0
1   2012  46  279000   4.0   6.8  0.90   5.3   0.2
1   2012  47  311000   4.0   7.5  0.92   3.2   0.0
1   2012  48  422000   4.5   9.5  1.00   3.5   0.3
1   2012  49  182000   3.5   9.1  0.95   6.0   7.0
1   2012  50  638000  -1.2   6.0  0.73   3.5   0.6
1   2012  51  912000  -3.4   6.4  0.68   3.9   0.0
1   2012  52  453000   2.8   9.3  0.94   5.1   0.0
1   2012  53  611000   5.2   9.0  1.01   6.7   2.2
