*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 19910101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   1991   1  332000   2.3   7.0  0.85   4.6   2.8
1   1991   2   54000   6.4  12.1  1.17   8.2  20.4
1   1991   3  156000   6.2   9.3  1.05   4.6   2.0
1   1991   4  279000   4.5   9.0  0.98   5.1   0.4
1   1991   5   69000   2.7   8.3  0.90   7.7   3.7
1   1991   6  198000   4.6   7.1  0.93   8.7   1.3
1   1991   7  286000   5.0   9.2  1.01   5.7   1.2
1   1991   8  261000   3.4  11.4  1.03   6.7   2.9
1   1991   9  248000   4.6  10.4  1.04   6.7   4.8
1   1991  10  152000   6.5  12.9  1.20   7.7   2.2
1   1991  11  216000   4.4   9.1  0.98   5.1   1.5
1   1991  12  119000   0.3   5.3  0.75   2.6   1.8
1   1991  13  442000  -1.2   6.3  0.73   2.1   0.0
1   1991  14  516000  -1.7   2.2  0.62   5.1   0.0
1   1991  15  503000  -1.9   3.9  0.66   5.7   0.0
1   1991  16  473000  -3.5   2.1  0.58   4.1   0.0
1   1991  17  432000  -3.0   4.4  0.64   3.1   0.0
1   1991  18  441000  -2.5   4.4  0.65   2.6   0.0
1   1991  19  152000  -2.7   5.9  0.69   2.6   2.9
1   1991  20  134000  -3.3   5.1  0.65   3.6   0.6
1   1991  21  307000   2.4   7.3  0.86   3.1   0.1
1   1991  22  273000   0.8   5.9  0.78   3.1   0.0
1   1991  23   57000  -0.4   1.2  0.63   1.5   0.0
1   1991  24  154000  -3.0   2.5  0.60   0.5   0.0
1   1991  25   71000  -3.8   2.1  0.57   1.0   0.0
1   1991  26   65000   1.4   3.4  0.73   1.0   0.0
1   1991  27  243000   1.4   5.8  0.79   1.5   0.0
1   1991  28  412000  -2.4   5.9  0.69   2.1   0.0
1   1991  29  520000  -4.7   0.6  0.53   2.1   0.0
1   1991  30  549000  -3.8   2.4  0.58   3.6   0.0
1   1991  31  494000  -4.8   0.9  0.53   2.6   0.0
1   1991  32  172000  -8.1  -1.5  0.43   1.5   0.0
1   1991  33  569000  -9.4   1.3  0.45   1.0   0.0
1   1991  34  561000  -9.8  -2.5  0.39   2.1   0.0
1   1991  35  575000  -9.9   0.1  0.42   2.6   0.0
1   1991  36  667000  -4.5   2.1  0.56   4.6   0.0
1   1991  37  497000 -11.9  -1.9  0.36   6.2   0.0
1   1991  38  249000 -12.1  -5.5  0.31   5.7   0.0
1   1991  39  189000 -11.5  -4.6  0.33   5.1   0.2
1   1991  40  572000 -12.5  -3.3  0.34   2.1   0.0
1   1991  41  404000  -7.0  -2.4  0.43   1.0   0.0
1   1991  42  245000  -6.9  -1.4  0.45   3.1   3.1
1   1991  43  602000 -10.1   1.3  0.44   1.0   0.3
1   1991  44  636000  -9.2   1.5  0.46   1.5   0.9
1   1991  45  411000 -11.1   1.7  0.43   1.5   0.6
1   1991  46  121000  -1.5   3.0  0.64   4.6   9.9
1   1991  47  623000  -2.4   3.1  0.63   3.1   0.0
1   1991  48  837000  -3.6   3.9  0.62   1.0   0.0
1   1991  49  303000  -3.2   4.9  0.65   0.5   0.0
1   1991  50  995000  -6.7   5.3  0.58   1.0   0.0
1   1991  51  479000  -5.5   4.5  0.59   2.6   0.0
1   1991  52  219000   0.1   7.4  0.80   3.1   0.0
