*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 20160101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   2016   1  176000  -0.2   7.5  0.79   3.0   0.0
1   2016   2   86000   4.6   6.3  0.90   5.7   3.3
1   2016   3  176000   5.2   8.2  0.98   5.6   8.8
1   2016   4   71000   3.8   7.0  0.90   3.3  11.2
1   2016   5   90000   4.7   7.7  0.95   3.3   0.3
1   2016   6  119000   1.6   4.7  0.77   3.1   0.5
1   2016   7   50000   3.5   7.9  0.92   5.8  10.8
1   2016   8  369000   1.4   8.3  0.86   4.3   0.0
1   2016   9  165000   1.0   7.9  0.84   4.3   0.3
1   2016  10  272000   5.0   9.0  1.00   5.4   4.3
1   2016  11   73000   2.1   6.7  0.84   3.7   1.9
1   2016  12  226000   4.7   7.2  0.93   4.9  10.4
1   2016  13  162000   2.4   7.0  0.85   3.5   2.8
1   2016  14  121000   1.6   5.3  0.78   5.2  13.4
1   2016  15  162000  -1.2   4.0  0.68   2.6   0.0
1   2016  16  289000  -1.6   5.6  0.71   3.7   1.6
1   2016  17  471000  -5.6   3.0  0.56   2.3   0.0
1   2016  18  553000  -6.7   0.0  0.48   2.1   0.0
1   2016  19  289000  -8.0   0.7  0.47   2.0   0.0
1   2016  20  225000  -3.7   5.3  0.65   1.5   0.0
1   2016  21  103000  -4.3   1.5  0.55   2.4   0.0
1   2016  22  350000  -2.2   5.7  0.69   4.4   4.1
1   2016  23  377000   2.8   9.0  0.93   3.3   0.0
1   2016  24   59000   5.0  10.4  1.05   4.4   2.2
1   2016  25  457000   7.4  14.6  1.31   3.9   0.0
1   2016  26  349000   6.6  11.1  1.14   6.4   2.1
1   2016  27   74000   8.6  12.4  1.27   7.9  13.1
1   2016  28  561000   4.9   9.0  1.00   4.5   0.2
1   2016  29   81000   5.3  10.0  1.05   8.6   1.9
1   2016  30   76000   5.1   9.9  1.04   6.1  18.7
1   2016  31  222000   3.6  10.8  1.02   4.3   4.5
1   2016  32  201000  10.6  11.9  1.33   8.3   0.5
1   2016  33  257000   6.5  11.4  1.14   6.7   0.2
1   2016  34  403000   3.1   7.0  0.88   4.1   4.3
1   2016  35  160000   2.9   7.7  0.89   3.2   3.4
1   2016  36  214000   5.0  10.9  1.07   4.3   0.8
1   2016  37  193000   8.3  10.6  1.18   5.3   0.1
1   2016  38  419000   6.6  11.1  1.14   6.8   3.7
1   2016  39  445000   7.0   9.9  1.11   9.7  11.0
1   2016  40  108000   3.3   8.2  0.92   5.0   8.8
1   2016  41  413000   1.8   8.3  0.88   4.0   5.7
1   2016  42  573000  -1.6   8.3  0.78   2.8   0.2
1   2016  43  507000  -1.7   6.6  0.73   2.7   0.0
1   2016  44  555000  -2.0   4.4  0.67   4.2   0.5
1   2016  45  151000   0.5   2.6  0.68   4.5  14.6
1   2016  46  654000  -3.1   5.6  0.67   4.1   0.1
1   2016  47  957000  -5.0   6.1  0.64   1.3   0.0
1   2016  48  871000  -5.2   3.5  0.57   2.3   0.0
1   2016  49  293000  -2.3   3.1  0.63   2.9   1.3
1   2016  50  659000   1.2   8.3  0.86   3.4   0.5
1   2016  51  209000   5.0  11.1  1.08   6.5   9.0
1   2016  52  139000   8.6  11.6  1.24   7.5   8.3
1   2016  53  245000   4.4  11.3  1.06   4.2   3.5
