*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 20050101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   2005   1  167000   2.8  10.6  0.98   4.5   1.3
1   2005   2  160000   5.6   8.6  1.01   5.9   0.0
1   2005   3  147000   5.8   8.9  1.03   4.8   0.0
1   2005   4   51000   6.6   9.3  1.07   6.6   1.6
1   2005   5  149000   3.1   7.7  0.90   4.2   3.2
1   2005   6  335000   5.6   9.5  1.04   5.0   0.3
1   2005   7   91000   9.3  12.5  1.30   8.0   0.0
1   2005   8  208000   5.3  11.8  1.11   8.8   0.0
1   2005   9  280000   5.0  10.8  1.07   5.9   0.3
1   2005  10  266000   8.9  13.3  1.32   6.2   1.9
1   2005  11  265000   8.6  11.7  1.24   5.3   0.7
1   2005  12  341000   5.4  10.8  1.08   5.2   0.3
1   2005  13  222000   2.9   7.6  0.89   4.0   0.0
1   2005  14  427000  -1.0   8.0  0.78   2.0   0.1
1   2005  15  471000  -2.5   3.9  0.64   2.9   0.0
1   2005  16  437000  -2.2   4.3  0.66   3.1   0.0
1   2005  17  132000   3.4   7.7  0.91   5.5   7.8
1   2005  18  151000   2.1   8.0  0.88   3.9  10.5
1   2005  19  461000   4.0   7.4  0.92   4.8   0.4
1   2005  20  118000   6.6  10.9  1.13   7.0  11.6
1   2005  21  290000   3.8   8.2  0.93   5.4   0.8
1   2005  22  392000  -1.0   8.2  0.79   2.6   0.9
1   2005  23  412000  -2.0   6.7  0.72   3.3   2.0
1   2005  24  463000  -2.4   3.9  0.64   3.3   1.0
1   2005  25  449000  -2.3   1.7  0.60   3.2   0.4
1   2005  26  539000  -2.7   1.7  0.59   2.8   0.0
1   2005  27  176000  -0.7   3.0  0.66   1.2   1.4
1   2005  28  133000   0.6   2.9  0.69   1.8   0.0
1   2005  29  296000  -1.6   3.9  0.66   2.0   0.2
1   2005  30  204000   3.6   7.5  0.91   2.3   1.1
1   2005  31  133000   4.2   8.0  0.94   3.9   5.6
1   2005  32  315000   3.2   6.3  0.86   3.3   0.4
1   2005  33  301000   4.3   8.1  0.95   3.2   3.7
1   2005  34  387000   5.0   8.2  0.97   2.3   0.4
1   2005  35  406000   2.1   8.3  0.88   1.7   0.0
1   2005  36  607000  -0.6   4.6  0.71   3.5   0.0
1   2005  37  684000  -3.4   7.5  0.71   3.0   0.0
1   2005  38  713000  -4.5   5.0  0.62   2.2   0.0
1   2005  39  687000  -5.4   4.6  0.59   1.6   0.0
1   2005  40  438000  -1.7   8.9  0.79   3.9   0.2
1   2005  41   44000   5.3   9.0  1.01   5.4  19.6
1   2005  42  413000   5.2   9.2  1.02   1.5   2.3
1   2005  43  128000   4.5  11.9  1.09   7.2  24.6
1   2005  44  356000   1.0   5.9  0.78   4.8  10.4
1   2005  45  395000   1.0   6.5  0.80   4.9   2.2
1   2005  46  248000   0.4   3.8  0.71   4.6   0.0
1   2005  47  677000  -1.9   2.4  0.62   3.5   0.0
1   2005  48  413000  -0.9   2.1  0.64   0.9   0.0
1   2005  49  172000   0.4   4.5  0.73   3.7   3.0
1   2005  50  574000  -0.1   6.3  0.76   2.6   4.3
1   2005  51  680000   0.0   5.4  0.74   3.1   0.2
1   2005  52  506000   0.2   4.3  0.72   4.3   0.7
1   2005  53  446000  -1.7   2.5  0.63   5.4   0.2
