*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 19940101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   1994   1  218000   1.1   5.5  0.77   3.6   0.4
1   1994   2   46000   0.2   8.1  0.82   6.2  13.3
1   1994   3   77000   3.7   8.9  0.95   5.7   8.4
1   1994   4  235000   4.8   8.4  0.97   7.2   3.2
1   1994   5   34000   3.8   8.7  0.95   6.2   8.4
1   1994   6  154000   4.0   8.1  0.94   5.1   5.0
1   1994   7  242000   2.5   6.1  0.83   5.1   0.0
1   1994   8  111000   1.0   4.3  0.74   3.6   0.0
1   1994   9  335000  -0.2   4.1  0.70   4.6   0.0
1   1994  10  164000   2.6   6.1  0.83   5.1   0.0
1   1994  11  111000   3.0   6.4  0.85   3.6   1.5
1   1994  12   49000   5.7  12.2  1.14   7.2   8.4
1   1994  13  261000   7.7  12.2  1.22   9.3   2.5
1   1994  14  241000   5.3   8.2  0.98   7.2   4.2
1   1994  15  192000   3.9   6.8  0.89   3.6   0.0
1   1994  16  290000  -2.5   5.1  0.67   2.6   0.0
1   1994  17  530000  -4.3   4.1  0.61   1.5   0.0
1   1994  18  173000  -0.1   4.0  0.70   6.7   0.0
1   1994  19   38000  -0.6   3.2  0.67   4.6   4.5
1   1994  20  435000  -2.0   5.9  0.70   4.1   0.0
1   1994  21   63000   4.4   6.3  0.89   5.7   0.0
1   1994  22   53000   5.2   8.9  1.00   4.1   2.9
1   1994  23   92000   4.3  10.4  1.03   7.2  19.1
1   1994  24  281000   1.4   6.5  0.81   3.6   0.0
1   1994  25  153000   4.9  11.6  1.09   7.2   7.2
1   1994  26  333000   4.1   7.3  0.92   7.2   2.6
1   1994  27   95000   4.2  10.9  1.04  10.3   7.4
1   1994  28  327000   0.9   6.0  0.78   8.2   0.9
1   1994  29  117000   2.1   8.3  0.88   5.1   1.1
1   1994  30  382000   5.0   9.8  1.03   7.2   1.6
1   1994  31  364000   3.9   7.7  0.92   4.1   0.0
1   1994  32  142000   3.7   7.2  0.90   6.2   2.0
1   1994  33  482000  -1.1   6.9  0.75   3.6   0.0
1   1994  34  282000  -1.0   4.9  0.70   6.2   2.4
1   1994  35   84000   4.2   7.3  0.92   3.1   0.0
1   1994  36  227000   2.3   5.8  0.82   2.6   0.0
1   1994  37  261000   1.7   7.6  0.85   2.1   0.0
1   1994  38  243000   0.8   6.4  0.79   3.1   1.9
1   1994  39  463000   0.2   8.6  0.84   2.1   0.3
1   1994  40  245000   0.5   8.2  0.83   4.6   0.9
1   1994  41  309000   3.1   7.7  0.90   4.1   2.7
1   1994  42  153000  -0.4   4.3  0.70   2.6   0.0
1   1994  43  438000  -1.2   3.0  0.65   4.6   0.0
1   1994  44  557000  -7.3  -0.1  0.46   7.7   0.0
1   1994  45  752000  -7.9  -1.0  0.44  10.3   0.0
1   1994  46  507000  -4.3   2.5  0.57   7.7   0.0
1   1994  47  727000  -4.8   5.4  0.62   3.6   0.0
1   1994  48  888000  -8.1   4.6  0.54   2.6   0.0
1   1994  49  852000  -6.4   4.4  0.57   3.6   0.0
1   1994  50  896000  -7.1   4.0  0.55   3.1   0.0
1   1994  51  834000  -8.6  -0.2  0.44   3.6   0.0
1   1994  52  454000 -10.1  -2.3  0.38   2.6   0.0
1   1994  53  175000  -7.5  -1.3  0.44   2.6   0.5
