*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 20040101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   2004   1   71000  -1.7   0.5  0.58   4.0   0.9
1   2004   2  388000  -6.0   0.3  0.49   3.8   0.0
1   2004   3  217000  -7.2  -0.9  0.45   2.0   0.7
1   2004   4  198000  -3.6   6.1  0.67   2.9   1.2
1   2004   5  141000   3.4   6.0  0.85   2.4   1.9
1   2004   6   24000   3.5   9.2  0.96   4.3   3.0
1   2004   7  102000   1.8   8.3  0.88   2.9   0.0
1   2004   8   54000   3.8   6.9  0.89   5.7   4.6
1   2004   9  107000   4.4   7.2  0.92   3.5   1.3
1   2004  10  253000   2.2   8.6  0.90   3.3   0.0
1   2004  11   91000   6.1  11.7  1.14   5.7  10.9
1   2004  12   81000   4.6   6.5  0.91   4.3   2.7
1   2004  13  159000   4.5   9.7  1.01   6.9   7.4
1   2004  14   97000   1.4   7.2  0.83   4.2   9.3
1   2004  15  205000   2.3   6.4  0.83   4.5   2.3
1   2004  16   81000   5.2   7.2  0.95   7.2  14.8
1   2004  17   74000   3.6   6.1  0.86   5.5   4.0
1   2004  18  491000   0.3   4.2  0.72   3.8   0.0
1   2004  19   50000   3.1   9.1  0.94   5.0  29.9
1   2004  20  288000  -0.7   9.0  0.82   2.0   0.6
1   2004  21  505000   0.3   3.8  0.71   1.9   0.0
1   2004  22   80000   0.6   2.8  0.69   3.6   0.1
1   2004  23  319000   0.3   4.5  0.73   2.9   0.0
1   2004  24  122000   1.0   7.2  0.82   2.8   4.4
1   2004  25  437000  -2.4   7.4  0.73   1.8   0.0
1   2004  26  171000  -2.7   2.3  0.60   2.6   0.0
1   2004  27  289000  -1.3   4.1  0.68   1.9   0.0
1   2004  28  345000  -1.2   5.4  0.71   3.6   5.7
1   2004  29  305000  -2.8   4.1  0.64   3.8   5.3
1   2004  30  273000   0.8   4.6  0.74   5.1   0.0
1   2004  31   48000   2.1  11.3  0.98   8.5  12.1
1   2004  32  433000   9.1  12.3  1.29   7.2  10.2
1   2004  33   68000   9.6  12.0  1.29   5.8   9.7
1   2004  34  319000  10.9  16.1  1.55   6.8   0.0
1   2004  35  205000  11.3  16.6  1.59   7.2   1.3
1   2004  36  114000  10.6  14.5  1.45   5.7   6.8
1   2004  37   64000   9.7  13.0  1.34   5.8   3.9
1   2004  38  319000   4.9   9.8  1.03   7.0   8.0
1   2004  39  423000   1.7   6.8  0.83   6.8   8.5
1   2004  40  382000   1.3   6.2  0.80   3.6   1.9
1   2004  41  242000   0.3   7.9  0.82   4.8  10.2
1   2004  42  205000   3.2   8.0  0.91   3.2   1.3
1   2004  43  280000   1.8   7.8  0.86   1.5   0.0
1   2004  44  237000   6.5   9.9  1.09   1.9   0.0
1   2004  45  304000   2.2   9.0  0.91   1.9   0.0
1   2004  46  299000   2.5   8.2  0.89   1.1   0.0
1   2004  47  334000  -0.8   5.4  0.72   1.2   0.0
1   2004  48  303000   1.6   7.1  0.83   2.1   0.2
1   2004  49  416000   2.3   8.7  0.90   3.8   2.5
1   2004  50  847000  -1.1   4.8  0.70   5.1   0.0
1   2004  51 1013000  -2.6   4.7  0.66   4.8   0.0
1   2004  52  417000  -2.8   1.8  0.59   3.0   0.0
1   2004  53  598000  -2.4   7.6  0.74   3.8   0.0
