*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 19990101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   1999   1  226000   3.4   8.8  0.94   4.2   0.0
1   1999   2   53000   4.5   8.6  0.97   5.2   7.8
1   1999   3   41000   3.5   8.2  0.93   5.4  11.3
1   1999   4   45000   5.5  13.0  1.17   6.6   5.0
1   1999   5  256000   8.5  13.5  1.31   5.3   1.1
1   1999   6  340000   7.8  13.1  1.26   5.8   0.0
1   1999   7  175000   5.2  11.4  1.09   4.5   4.2
1   1999   8   60000   3.0   7.5  0.89   5.3   5.1
1   1999   9  362000  -1.5   5.2  0.70   3.1   0.0
1   1999  10  555000  -4.3   2.0  0.56   2.6   0.0
1   1999  11  508000  -3.5   1.4  0.57   3.5   0.0
1   1999  12  269000  -2.1   2.0  0.61   4.7   7.1
1   1999  13  219000   0.1   5.5  0.75   4.6   7.6
1   1999  14  261000   4.8   7.4  0.94   6.5   2.6
1   1999  15  101000   7.3   9.4  1.10   8.0   2.4
1   1999  16   46000   5.0  11.1  1.08   6.9  11.3
1   1999  17  177000   3.3   7.6  0.90   4.4   0.0
1   1999  18  455000   1.5   7.6  0.84   5.0   0.0
1   1999  19  104000   5.5  10.0  1.05   6.9   1.4
1   1999  20  205000   8.1  12.1  1.24   5.0   1.3
1   1999  21  152000   6.0  10.0  1.07   2.0   0.8
1   1999  22  343000  -3.1   6.7  0.70   1.0   0.0
1   1999  23  109000  -2.9   6.1  0.69   2.8   0.0
1   1999  24  107000   4.2   8.5  0.96   5.1   1.4
1   1999  25   40000   6.9  12.2  1.19   8.0   4.1
1   1999  26  256000   3.4   7.9  0.91   5.1  10.8
1   1999  27  362000   3.5   8.4  0.93   4.3   6.9
1   1999  28  160000   0.8   6.9  0.80   4.3   3.8
1   1999  29  444000  -5.5   1.6  0.53   2.7   0.0
1   1999  30  510000  -7.1   3.6  0.54   0.8   0.0
1   1999  31  480000  -4.8   6.0  0.64   1.2   0.0
1   1999  32  127000   4.2   7.5  0.93   2.8   0.6
1   1999  33  158000   4.6   7.7  0.94   3.1   0.0
1   1999  34  189000   4.9   9.1  1.00   3.6   0.2
1   1999  35  196000   7.6  10.9  1.17   7.0   0.5
1   1999  36  425000   2.0   8.2  0.88   7.2   3.4
1   1999  37  439000   1.3   5.8  0.79   3.8   6.5
1   1999  38  369000  -1.3   4.8  0.69   4.5   6.1
1   1999  39  487000  -4.1   3.4  0.60   2.8   6.6
1   1999  40  292000  -4.2  -0.2  0.52   1.5   1.4
1   1999  41  688000  -2.9   4.6  0.65   2.7   2.6
1   1999  42  793000  -6.5   2.7  0.53   2.3   0.0
1   1999  43  832000  -8.3   1.7  0.48   1.6   0.0
1   1999  44  985000  -9.6   2.4  0.47   1.8   0.0
1   1999  45  516000 -10.3  -0.3  0.41   2.4   2.6
1   1999  46  239000  -0.3   2.6  0.66   3.9   0.2
1   1999  47  731000   2.6   7.5  0.88   6.8   3.4
1   1999  48  692000  -1.1   5.8  0.72   5.3   3.7
1   1999  49  261000   0.6   7.0  0.80   2.3   0.6
1   1999  50   87000   4.3  10.3  1.02   4.5   6.2
1   1999  51  649000   3.5   8.5  0.93   3.5   0.0
1   1999  52  169000   3.5   7.8  0.91   5.2   6.3
1   1999  53  439000   0.8   6.0  0.78   6.3   9.6
