*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 19980101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   1998   1  219000   2.0   7.9  0.87   4.9   1.5
1   1998   2   69000   5.8   9.7  1.05   6.8  11.3
1   1998   3   25000   5.8  11.4  1.12   8.5  15.2
1   1998   4  127000   4.8   8.6  0.98   8.8   2.0
1   1998   5   50000   3.8   7.9  0.93   8.4  12.0
1   1998   6  302000   5.3   8.7  1.00   5.5   1.3
1   1998   7  161000   6.0  11.1  1.11   7.0   6.5
1   1998   8   93000   6.9  11.6  1.17   8.3   3.7
1   1998   9  154000   6.9  12.3  1.19   5.8   0.0
1   1998  10  368000   4.2  10.8  1.04   3.3   0.0
1   1998  11  382000   1.4  10.0  0.92   3.2   0.0
1   1998  12  249000   4.2  10.2  1.02   3.1   0.0
1   1998  13  273000   3.9   9.6  0.98   4.1   0.0
1   1998  14   31000   4.8  10.5  1.05   6.8   6.6
1   1998  15   61000   4.0   9.5  0.98   6.2   2.8
1   1998  16  119000   5.2   8.2  0.98   4.1   0.6
1   1998  17  231000   3.3   8.1  0.92   5.3   0.8
1   1998  18   56000   3.8   6.3  0.88   7.0   8.3
1   1998  19  135000   1.8   7.5  0.85   6.3   3.4
1   1998  20   79000  -0.5   4.9  0.72   5.8   1.7
1   1998  21  430000  -4.2   2.2  0.57   2.1   0.0
1   1998  22  400000  -5.7   1.2  0.52   2.5   0.0
1   1998  23   52000  -3.1   1.3  0.57   2.8   0.0
1   1998  24  287000   0.8   4.8  0.75   5.2   0.2
1   1998  25  422000  -1.9   3.5  0.65   5.5   0.0
1   1998  26  608000  -5.0   3.0  0.57   2.8   0.0
1   1998  27  589000  -6.6   4.0  0.56   1.0   0.0
1   1998  28   91000   0.4   4.6  0.73   1.9   0.4
1   1998  29  387000   1.6   6.2  0.81   1.7   0.7
1   1998  30  158000   1.6   7.0  0.83   2.7   0.8
1   1998  31  636000  -4.8   4.7  0.61   4.7   0.4
1   1998  32  512000  -9.1  -1.6  0.41   2.8   0.0
1   1998  33  267000 -10.2   4.1  0.49   2.8   3.7
1   1998  34  573000  -1.8   5.8  0.71   2.2   0.0
1   1998  35  640000  -0.7   5.3  0.72   4.1   0.0
1   1998  36  507000  -0.5   8.1  0.80   3.3   0.0
1   1998  37  153000   4.2   7.2  0.92   3.6   0.0
1   1998  38  286000   1.3   7.1  0.82   4.5   2.9
1   1998  39  448000  -0.7   7.0  0.77   4.0   0.0
1   1998  40  698000   2.3  10.5  0.96   4.7   0.0
1   1998  41  534000   2.4   9.9  0.94   3.9   0.0
1   1998  42  521000   5.9  10.6  1.09   6.0   0.0
1   1998  43  450000   7.9  12.6  1.25   5.9   0.0
1   1998  44  522000   7.7  16.2  1.40   3.3   0.0
1   1998  45  730000   3.5  15.2  1.18   3.0   0.0
1   1998  46  568000   6.6  15.1  1.30   3.7   0.0
1   1998  47  527000   7.1  12.5  1.21   6.9   0.6
1   1998  48  361000   3.6   8.6  0.94   3.0   0.2
1   1998  49  837000   0.7  11.8  0.95   2.7   0.0
1   1998  50  608000   3.8  11.8  1.06   3.8   0.0
1   1998  51  792000   8.5  14.3  1.35   4.3   0.0
1   1998  52  208000   7.0  12.1  1.19   4.4   1.9
1   1998  53  311000   3.8   9.2  0.97   2.8   4.6
