*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 19830101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   1983   1  274000  -1.9   3.1  0.64   5.1   1.5
1   1983   2  145000   2.7   4.6  0.79   3.6   0.0
1   1983   3   27000   3.4  11.0  1.02   6.7  20.9
1   1983   4   89000   3.9  11.7  1.06   7.2  12.0
1   1983   5   96000   4.8  12.9  1.14   6.2   2.6
1   1983   6  199000   5.0  12.9  1.14   8.2   2.2
1   1983   7  269000   3.1   7.8  0.90   5.7   0.1
1   1983   8  348000   2.1   7.6  0.86   4.1   0.4
1   1983   9   69000   3.4   9.0  0.95   5.7   4.6
1   1983  10  226000   2.5   9.2  0.93   3.6   0.2
1   1983  11  204000   6.5  10.0  1.09   3.6   0.0
1   1983  12   67000   4.1   7.5  0.92   5.1   0.0
1   1983  13   57000   0.6   6.9  0.80   5.7   3.6
1   1983  14   39000   0.7   7.0  0.80   5.7  10.1
1   1983  15  104000   4.0   9.7  0.99   5.7   5.4
1   1983  16  315000   7.3   9.5  1.10   5.7   0.0
1   1983  17   51000   7.1   9.0  1.08   5.7   0.0
1   1983  18  420000   2.2   8.4  0.89   7.2   1.4
1   1983  19  195000   0.8   5.4  0.76   4.6   1.6
1   1983  20  213000  -0.3   5.1  0.73   3.1   0.0
1   1983  21  131000   5.1   7.3  0.95   4.6   0.0
1   1983  22  103000   4.3   6.8  0.91   2.6   0.0
1   1983  23  494000  -1.8   4.8  0.68   1.5   0.0
1   1983  24  442000  -1.3   5.3  0.71   3.1   0.0
1   1983  25   63000   4.0   7.9  0.93   3.1   4.7
1   1983  26  296000   6.1  11.7  1.14   4.1   0.1
1   1983  27   69000   9.2  12.4  1.29   6.7   0.3
1   1983  28   59000   7.8  10.0  1.14   6.2   6.1
1   1983  29  419000   3.7  10.5  1.01   5.7   0.0
1   1983  30  232000   0.8   7.8  0.83   5.7   5.8
1   1983  31  255000   0.6  10.2  0.90   5.7  11.0
1   1983  32  403000   2.9  10.8  0.99  10.3   6.9
1   1983  33  433000   0.6   6.3  0.78   4.6   8.8
1   1983  34  415000  -0.7   4.9  0.71   2.6   2.9
1   1983  35  635000  -3.2   5.9  0.67   2.6   0.0
1   1983  36  360000   0.2   5.5  0.75   4.6  10.7
1   1983  37  255000   1.1   4.8  0.75   2.6   3.3
1   1983  38  162000   0.4   1.8  0.66   4.1   0.8
1   1983  39  249000  -1.3   1.2  0.61   5.1   0.2
1   1983  40  216000  -2.0  -0.4  0.56   2.6   0.3
1   1983  41  107000  -4.9  -1.8  0.48   1.5   0.0
1   1983  42  562000  -4.9   0.4  0.52   3.1   0.0
1   1983  43  539000  -4.4   0.3  0.53   3.1   0.0
1   1983  44  832000  -5.9  -0.8  0.48   3.1   0.0
1   1983  45  853000  -6.8   0.9  0.49   4.6   0.0
1   1983  46  760000  -3.4   2.3  0.59   5.1   0.0
1   1983  47  891000  -6.6   1.7  0.51   3.6   0.0
1   1983  48  878000  -3.0   3.0  0.61   3.6   0.0
1   1983  49  934000  -4.8   3.4  0.58   2.1   0.0
1   1983  50  377000  -1.7   2.7  0.63   1.5   0.0
1   1983  51  564000   0.2   5.2  0.74   1.5   0.0
1   1983  52  992000  -3.5   4.0  0.62   3.1   0.0
1   1983  53 1014000  -5.9   2.3  0.54   3.6   0.0
