*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 20100101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   2010   1  318000  -6.3   0.7  0.50   3.8   0.0
1   2010   2  117000  -6.4   1.2  0.50   3.1   0.1
1   2010   3  388000  -6.5  -1.0  0.46   2.5   0.0
1   2010   4  179000  -5.4  -0.6  0.49   3.1   0.0
1   2010   5  253000  -3.0   1.9  0.59   2.8   0.9
1   2010   6  455000  -5.2  -0.5  0.49   2.5   0.1
1   2010   7  408000 -10.0  -2.1  0.39   2.0   0.0
1   2010   8  216000 -10.7  -2.1  0.38   3.6   0.0
1   2010   9  166000  -4.9  -0.5  0.50   7.3   1.0
1   2010  10  149000  -1.0   0.2  0.59   3.5   1.1
1   2010  11  125000  -0.9   0.0  0.59   2.5   0.0
1   2010  12  222000  -4.2  -0.7  0.51   3.8   0.0
1   2010  13  223000  -5.0  -1.2  0.49   4.8   0.0
1   2010  14  393000  -3.0   4.8  0.65   2.5   0.0
1   2010  15  114000   0.1   1.8  0.65   2.4   0.0
1   2010  16  150000  -0.1   1.9  0.65   5.4   7.7
1   2010  17  183000   0.8   6.7  0.80   2.8   1.4
1   2010  18  110000   0.2   5.3  0.74   3.2   1.2
1   2010  19  133000   1.9   5.8  0.80   1.6   0.3
1   2010  20  417000   1.6   5.5  0.79   3.9   0.0
1   2010  21  156000   1.9   3.8  0.75   3.1   0.0
1   2010  22  408000   0.2   4.9  0.73   3.4   0.0
1   2010  23  143000  -0.5   2.4  0.65   3.5   5.0
1   2010  24  134000  -0.7   0.6  0.61   1.8   1.1
1   2010  25  160000  -7.5  -0.6  0.45   2.3   0.0
1   2010  26  689000 -10.1  -3.7  0.36   2.5   0.0
1   2010  27  197000 -11.1   4.5  0.48   3.8   3.9
1   2010  28  341000   0.9   5.2  0.76   3.4   1.3
1   2010  29  130000  -0.3   4.6  0.71   3.5   8.5
1   2010  30  710000  -1.6   1.7  0.61   2.8   7.5
1   2010  31  538000  -0.5   3.7  0.69   3.4   0.1
1   2010  32  343000  -4.1   3.4  0.60   3.2   3.1
1   2010  33   85000  -0.6   5.2  0.72   5.3  18.2
1   2010  34  603000  -1.1   6.2  0.73   3.0   0.3
1   2010  35  210000   1.7   8.2  0.87   3.6   2.3
1   2010  36  137000   2.5   6.5  0.84   3.4   1.1
1   2010  37  252000   1.1   5.7  0.78   2.1   0.0
1   2010  38  153000   0.2   2.4  0.67   2.1   0.0
1   2010  39  400000  -4.5   0.2  0.52   4.4   0.0
1   2010  40  496000  -5.0  -1.5  0.48   4.0   0.0
1   2010  41  380000  -5.5  -1.2  0.48   3.8   1.7
1   2010  42  620000  -5.3  -0.8  0.49   5.4   0.0
1   2010  43  911000  -6.5   0.9  0.50   3.9   0.0
1   2010  44  229000  -4.3   0.0  0.52   2.8   0.0
1   2010  45  221000  -4.6  -1.3  0.49   2.2   0.5
1   2010  46  514000  -5.3  -1.0  0.48   2.1   0.5
1   2010  47  372000  -3.2   1.7  0.58   4.5   0.1
1   2010  48  576000  -4.5   2.6  0.57   2.8   0.1
1   2010  49  269000   1.0   5.7  0.78   3.0   0.7
1   2010  50  127000   1.0   5.3  0.77   4.9   0.2
1   2010  51  645000  -3.2   5.1  0.65   3.7   0.2
1   2010  52  262000  -4.5   4.2  0.60   3.1   3.9
