*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 19880101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   1988   1  107000   6.7  11.4  1.15   6.7   8.1
1   1988   2   48000   6.9  13.4  1.24   8.7   4.7
1   1988   3  150000   6.9   9.0  1.07   8.2   4.9
1   1988   4  212000   5.1  10.2  1.05   7.2   2.5
1   1988   5   29000   6.9  11.5  1.16   5.1   9.1
1   1988   6  259000   7.2  10.6  1.14   7.2  14.0
1   1988   7   53000   4.4   7.7  0.94   4.1   3.5
1   1988   8  182000   1.5   6.4  0.81   2.6   0.0
1   1988   9   67000   2.0   8.6  0.89   4.6   0.4
1   1988  10  104000   5.8  10.1  1.07   2.1   7.9
1   1988  11  350000   3.0   7.4  0.88   3.6   1.8
1   1988  12  389000   0.7   7.2  0.81   3.1   0.0
1   1988  13  221000   1.1   8.0  0.84   4.6   0.0
1   1988  14  237000   0.4   9.4  0.87   2.6   0.3
1   1988  15   98000  -0.9   5.1  0.71   1.5   0.0
1   1988  16   43000   3.1   5.8  0.84   1.0   0.2
1   1988  17   61000   1.6   6.5  0.82   2.1   0.0
1   1988  18  258000   0.7   5.3  0.76   2.1   0.0
1   1988  19  417000   3.0   8.8  0.93   3.6   0.0
1   1988  20   44000   5.0   6.8  0.93   3.6   1.5
1   1988  21  138000   1.4   5.7  0.79   3.1   0.9
1   1988  22   29000   0.2   2.5  0.67   4.1  16.7
1   1988  23  362000  -0.9   4.5  0.70   3.6   5.7
1   1988  24  134000   3.6  10.7  1.01   4.6   9.9
1   1988  25   68000   5.2   9.6  1.03   5.7  14.4
1   1988  26   92000   4.2   7.8  0.93   3.1   4.7
1   1988  27  398000   1.6   8.5  0.88   1.5   0.0
1   1988  28   79000   3.6   9.7  0.98   4.1   9.3
1   1988  29  182000   4.9  10.0  1.03   5.7   6.8
1   1988  30  182000   3.4   6.8  0.88   4.6   0.4
1   1988  31  217000   2.5   7.5  0.87   3.6   0.1
1   1988  32  155000   2.3   8.7  0.90   7.2  11.6
1   1988  33  296000   4.4   9.2  0.99   8.2   1.0
1   1988  34  296000   4.1   8.6  0.96   5.1   2.3
1   1988  35  257000   3.9   9.2  0.97   6.7   5.9
1   1988  36  497000   4.3   8.6  0.96   4.6   7.1
1   1988  37  392000   0.5   7.6  0.82   3.6  17.8
1   1988  38  304000   2.2   6.2  0.82   4.1   2.8
1   1988  39  253000   1.5   6.0  0.80   6.7   7.4
1   1988  40  347000   2.8   9.8  0.95   7.2   5.5
1   1988  41  105000   0.6   6.3  0.78   8.2  14.3
1   1988  42  551000   0.2   7.2  0.80   4.6   0.5
1   1988  43  498000  -0.4   7.4  0.78   2.1   0.9
1   1988  44  738000  -1.5   7.3  0.75   3.6   0.0
1   1988  45  598000   3.6   9.8  0.98   5.1   0.0
1   1988  46  889000   0.9   9.1  0.87   3.1   0.0
1   1988  47  423000  -0.2   7.5  0.79   3.1   0.0
1   1988  48  385000   2.8   7.5  0.88   4.1   1.3
1   1988  49  296000   4.1   7.8  0.93   3.6   1.8
1   1988  50  706000   4.3   9.2  0.98   4.1   0.7
1   1988  51  374000   4.6   8.8  0.98   1.5   0.0
1   1988  52  204000   4.2   8.6  0.96   1.5   0.0
1   1988  53  523000   0.8  10.0  0.90   3.1   0.0
1   1988  54  496000   2.6   6.9  0.86   4.6   3.0
