*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 20110101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   2011   1  187000  -0.3   5.9  0.75   2.6   0.6
1   2011   2  357000  -0.7   5.3  0.72   2.2   0.0
1   2011   3  257000  -3.6   3.6  0.61   2.0   0.1
1   2011   4  296000  -0.1   2.4  0.66   4.4   0.0
1   2011   5  339000  -1.5   3.5  0.66   5.3   0.5
1   2011   6   52000   3.3   5.2  0.83   3.0  15.5
1   2011   7   56000  -0.5   9.2  0.83   3.2   0.5
1   2011   8  148000   4.9  12.0  1.11   5.6   4.8
1   2011   9  363000   1.0   6.7  0.80   3.9   0.0
1   2011  10  415000  -2.5   4.9  0.67   3.2   0.0
1   2011  11   54000  -0.3   6.2  0.75   5.2   2.1
1   2011  12   60000   2.9   8.5  0.92   3.8  10.5
1   2011  13   50000   8.3  10.6  1.18   4.3  12.5
1   2011  14   41000   7.5  11.6  1.19   5.9  19.3
1   2011  15   76000   7.0  10.0  1.11   6.1   0.0
1   2011  16  268000   8.0  12.5  1.25   5.0   0.0
1   2011  17   99000   5.0   9.6  1.02   3.8   0.5
1   2011  18  132000   1.9   6.1  0.81   1.9  10.8
1   2011  19  253000   1.4   6.6  0.81   2.3   1.6
1   2011  20  491000  -2.8   5.0  0.66   2.9   0.0
1   2011  21  222000  -3.8   3.7  0.61   1.5   0.0
1   2011  22  156000   2.2   6.1  0.82   3.2   0.3
1   2011  23   89000   2.3   6.6  0.84   3.3   0.3
1   2011  24  173000   4.5   6.8  0.91   3.1   1.4
1   2011  25  405000   0.7   6.9  0.80   4.1   5.4
1   2011  26  228000  -0.4   4.0  0.70   2.5   0.0
1   2011  27  538000  -3.1   1.4  0.57   4.5   0.0
1   2011  28  612000  -4.9   1.1  0.53   3.3   0.0
1   2011  29  705000  -5.6   0.6  0.51   2.8   0.0
1   2011  30  191000  -5.3   1.4  0.53   2.9   0.0
1   2011  31  163000  -2.9  -0.1  0.55   1.8   0.0
1   2011  32  142000  -3.3   2.4  0.59   3.7   0.9
1   2011  33  109000   2.2   4.5  0.78   5.0   1.2
1   2011  34  461000   3.9   8.0  0.93   5.0   2.0
1   2011  35   87000   6.5  10.4  1.11   9.9   0.6
1   2011  36  230000  10.3  11.6  1.31  10.6   0.0
1   2011  37  182000   8.4  11.3  1.22   8.7   0.0
1   2011  38  411000   7.1  10.4  1.13   6.8   0.0
1   2011  39  717000  -2.8   9.2  0.77   2.2   0.0
1   2011  40  658000  -3.7   9.4  0.75   2.6   0.0
1   2011  41  260000   3.6  10.4  1.00   3.7   9.1
1   2011  42  109000   4.7   9.5  1.01   3.0   2.1
1   2011  43  140000   3.1   8.5  0.92   4.1  12.4
1   2011  44  401000   3.4   8.1  0.92   3.9   0.0
1   2011  45  194000   4.4   8.2  0.95   3.0   1.1
1   2011  46  581000   3.5   7.9  0.92   3.7   0.6
1   2011  47  780000   2.0  10.4  0.95   2.9   0.2
1   2011  48  866000   0.6  10.1  0.89   3.5   0.0
1   2011  49   98000   0.4   1.5  0.65   3.5   0.0
1   2011  50  468000   0.6   5.0  0.75   5.3   0.0
1   2011  51  524000  -2.4   2.7  0.62   5.6   0.0
1   2011  52  966000  -4.6   2.1  0.56   4.5   0.0
1   2011  53  971000  -6.4   2.5  0.53   3.3   0.0
