*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 19820101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   1982   1   93000   1.2   7.2  0.82   1.5   1.6
1   1982   2   81000   4.8  10.8  1.06   3.6   3.5
1   1982   3  263000   7.1  11.5  1.17   4.1   2.1
1   1982   4  110000   8.0  11.0  1.19   5.7   4.5
1   1982   5   70000  -0.6  10.1  0.86   5.1  10.7
1   1982   6  376000  -7.8  -0.4  0.45   3.6   0.2
1   1982   7  453000 -10.2  -1.9  0.39   1.5   0.0
1   1982   8  253000  -6.2  -3.9  0.42   5.1   0.0
1   1982   9  153000 -11.8  -5.6  0.32   4.1   0.0
1   1982  10  486000 -13.6  -3.8  0.32   2.6   0.0
1   1982  11  205000 -10.2  -1.0  0.40   2.6   0.0
1   1982  12  471000  -8.8   2.5  0.48   1.0   0.0
1   1982  13  446000 -10.5  -0.1  0.41   1.0   0.0
1   1982  14  509000  -9.0   0.6  0.45   2.6   0.0
1   1982  15  417000  -8.8   3.1  0.49   2.6   0.0
1   1982  16  422000  -0.9   6.3  0.74   2.6   0.0
1   1982  17  407000  -1.8   7.3  0.74   1.5   0.0
1   1982  18  433000  -3.7   6.1  0.67   1.0   0.0
1   1982  19  265000  -1.2   5.4  0.71   1.5   0.0
1   1982  20  470000   0.2   7.0  0.79   2.1   0.1
1   1982  21  151000   0.0   3.9  0.70   1.5   0.5
1   1982  22  100000  -1.0   4.0  0.68   2.6   1.6
1   1982  23  157000  -2.1   3.2  0.64   1.0   0.0
1   1982  24  197000  -3.0   2.6  0.60   1.5   0.0
1   1982  25   57000   1.7   3.1  0.73   4.1   3.8
1   1982  26  141000   3.0   6.6  0.86   5.1   6.4
1   1982  27  300000  -0.1   4.4  0.71   3.1   2.8
1   1982  28  150000  -0.2   6.7  0.77   4.1   0.0
1   1982  29  113000   5.3   9.7  1.04   4.6   3.7
1   1982  30  259000   7.3  10.1  1.12   5.7   3.0
1   1982  31  654000  -2.5   7.8  0.74   2.1   0.8
1   1982  32  664000  -2.9   5.4  0.67   1.5   0.0
1   1982  33  706000  -2.1   5.0  0.68   3.6   0.0
1   1982  34  633000  -1.3   3.2  0.65   5.1   0.0
1   1982  35  608000  -0.9   6.3  0.74   3.1   0.0
1   1982  36  560000   0.8   9.0  0.87   3.1   0.0
1   1982  37  231000   5.7   8.6  1.01   3.1   3.4
1   1982  38   80000   4.9   6.9  0.93   2.6   4.4
1   1982  39  377000   2.2   8.0  0.88   3.1   0.8
1   1982  40  297000   4.0   9.7  0.99   3.1   0.0
1   1982  41  414000   2.1  10.0  0.94   2.6   0.0
1   1982  42  647000   2.1  12.3  1.02   2.6   1.4
1   1982  43  506000  -0.6   9.6  0.84   2.6   0.7
1   1982  44  643000   4.4  12.2  1.09   3.6   1.6
1   1982  45  660000   0.0   8.9  0.84   1.5   0.8
1   1982  46  243000   0.1   4.3  0.72   4.1   0.0
1   1982  47   81000   0.8   2.0  0.68   3.1   0.0
1   1982  48  119000  -0.2   1.7  0.64   3.1   0.0
1   1982  49  450000  -1.2   5.9  0.72   3.6   0.0
1   1982  50  640000  -3.1   0.6  0.56   4.1   0.0
1   1982  51  898000  -4.6   4.4  0.61   3.6   0.0
1   1982  52 1033000  -3.7   5.2  0.64   3.1   0.0
1   1982  53 1046000  -3.6   7.0  0.69   3.1   0.0
