*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 19850101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   1985   1   89000   0.5   6.3  0.78   5.7   5.9
1   1985   2  224000  -3.8   1.4  0.56   2.6   0.0
1   1985   3  199000  -3.5   1.1  0.56   2.1   1.0
1   1985   4  302000 -13.3  -3.5  0.32   2.1   0.0
1   1985   5  471000 -14.4  -4.8  0.29   1.5   0.0
1   1985   6  135000 -12.6  -5.3  0.31   4.6   1.2
1   1985   7  465000 -17.3  -9.1  0.22   4.1   0.0
1   1985   8  260000 -18.3  -4.0  0.26   3.1   0.4
1   1985   9   87000  -8.5  -0.4  0.44   5.1   1.4
1   1985  10  134000 -15.6  -3.0  0.30   2.1   0.7
1   1985  11  215000  -7.6  -2.8  0.41   2.1   0.0
1   1985  12  243000  -7.9   2.4  0.50   4.1   0.5
1   1985  13  438000 -11.2  -6.0  0.32   3.1   0.0
1   1985  14  250000 -12.4  -3.4  0.34   3.6   0.0
1   1985  15  282000 -11.2  -8.2  0.29   3.6   0.0
1   1985  16  191000 -13.4  -6.4  0.29   1.0   0.0
1   1985  17  231000  -9.7  -4.1  0.36   1.0   0.5
1   1985  18  369000 -11.9  -6.1  0.31   2.6   0.0
1   1985  19  153000  -9.9  -5.1  0.35   2.6   0.0
1   1985  20   98000  -8.2  -3.0  0.40   2.1   0.0
1   1985  21  153000  -3.7   5.5  0.65   4.6   3.5
1   1985  22  134000   0.2   6.7  0.78   5.1   6.0
1   1985  23  335000  -1.0   3.6  0.67   4.1   0.1
1   1985  24  365000  -1.2   3.6  0.67   5.7   5.9
1   1985  25   79000   1.5   5.1  0.77   5.1   2.1
1   1985  26  134000  -1.9   2.5  0.62   2.6   3.0
1   1985  27  722000  -4.2   2.9  0.58   2.1   0.0
1   1985  28  467000  -1.5   2.4  0.63   4.6   0.0
1   1985  29  208000   1.0   8.9  0.87   4.6   3.5
1   1985  30  549000   4.2   9.2  0.98   4.1   2.4
1   1985  31  150000   5.6   8.7  1.01   6.2   1.9
1   1985  32  246000   6.8  11.6  1.16   5.7   1.0
1   1985  33  528000   3.2   9.9  0.97   5.7   0.0
1   1985  34  653000  -0.1   7.8  0.80   1.5   0.0
1   1985  35  616000  -1.7   8.9  0.79   2.6   0.0
1   1985  36  689000  -2.6   9.3  0.78   1.5   0.0
1   1985  37  284000  -2.3   5.6  0.69   1.0   0.0
1   1985  38  741000  -4.0   2.2  0.57   3.1   0.0
1   1985  39  223000  -3.8   0.0  0.53   7.2   0.1
1   1985  40  390000  -6.6  -3.0  0.43   7.2   0.0
1   1985  41  883000  -9.5  -3.6  0.37   6.2   0.0
1   1985  42  909000  -9.1  -3.2  0.39   5.1   0.0
1   1985  43  895000 -11.4  -1.9  0.37   4.6   0.0
1   1985  44  858000 -11.0   0.2  0.41   3.1   0.0
1   1985  45  820000 -11.2   0.6  0.41   4.1   0.0
1   1985  46 1007000 -11.8  -0.4  0.39   2.6   0.0
1   1985  47  736000  -9.4   5.0  0.52   1.0   0.0
1   1985  48  451000  -5.5   2.5  0.55   3.1   0.0
1   1985  49 1029000  -9.8  -0.9  0.41   3.6   0.0
1   1985  50 1089000 -13.9   0.6  0.37   2.6   0.0
1   1985  51  321000  -7.4   0.7  0.48   3.1   0.0
1   1985  52  290000  -0.2   4.3  0.71   1.5   0.3
