*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 20070101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   2007   1  169000   5.5  11.6  1.11   5.6   0.5
1   2007   2  125000   3.3   7.7  0.90   3.7   5.8
1   2007   3   95000   2.8   9.1  0.93   5.0   1.7
1   2007   4  124000   7.8  10.2  1.15   6.4   2.3
1   2007   5   99000   6.2  10.4  1.09   4.2   2.4
1   2007   6  134000   5.6  10.7  1.08   3.3  12.4
1   2007   7   57000   6.0   8.9  1.03   5.1   0.7
1   2007   8  293000   8.1  11.9  1.23   5.9   8.5
1   2007   9  151000  11.8  13.7  1.47   8.4   0.0
1   2007  10   60000   7.1  13.4  1.25   7.2   5.5
1   2007  11   30000   5.6  11.1  1.10   8.6   3.9
1   2007  12  134000   7.7  12.1  1.22   6.6   0.0
1   2007  13  109000   9.9  11.9  1.30   6.4   0.1
1   2007  14  415000   3.3  11.2  1.02   4.5   0.8
1   2007  15  335000   3.4   8.8  0.94   4.0   0.0
1   2007  16   82000   4.0   9.6  0.99   4.6   0.6
1   2007  17  145000   7.8  11.9  1.22   6.1  13.9
1   2007  18   40000   7.6  14.1  1.30   9.4  24.8
1   2007  19  283000   8.8  11.9  1.26   5.4   0.8
1   2007  20  132000   6.6  13.1  1.22   6.9   3.8
1   2007  21  281000   3.7   8.5  0.94   6.0   7.1
1   2007  22  308000  -4.0   5.5  0.64   3.1   2.4
1   2007  23  363000  -5.3   3.2  0.57   1.2   0.0
1   2007  24  398000  -4.1   3.9  0.61   1.7   0.0
1   2007  25  618000  -4.4   1.4  0.55   2.6   0.0
1   2007  26  122000  -1.3   5.0  0.70   3.9   3.4
1   2007  27  361000   1.0   7.8  0.84   2.7   0.9
1   2007  28   95000   5.9   8.5  1.02   4.8   1.0
1   2007  29  317000   7.3  10.8  1.15   2.9   0.1
1   2007  30  190000   7.0   9.8  1.10   2.5   0.0
1   2007  31  416000   5.6   8.8  1.02   4.4   0.4
1   2007  32  126000   7.1  10.8  1.14   1.7   0.0
1   2007  33  198000   2.9  10.5  0.98   2.9   0.0
1   2007  34  659000   0.7  11.1  0.93   2.3   0.0
1   2007  35  429000  -1.3   7.1  0.75   1.1   0.0
1   2007  36  239000  -1.9   5.4  0.69   1.5   0.2
1   2007  37  423000  -2.3   4.8  0.67   2.0   0.2
1   2007  38  562000  -2.3   4.7  0.67   2.7   0.0
1   2007  39  118000  -2.7   3.6  0.63   4.2   5.2
1   2007  40  273000   1.0   4.2  0.74   3.0   0.0
1   2007  41  170000   1.0   7.1  0.82   4.7   3.6
1   2007  42  198000   5.9  10.0  1.07   4.9  10.7
1   2007  43  299000   6.5  11.2  1.14   5.1   7.9
1   2007  44  277000   5.4   9.4  1.03   4.9   1.5
1   2007  45  139000   4.7   7.1  0.93   3.2   7.7
1   2007  46  837000   2.3  11.3  0.99   3.2   0.0
1   2007  47  674000   4.1  11.4  1.05   5.9   0.0
1   2007  48  569000   2.1  10.3  0.95   4.3   0.0
1   2007  49  226000   0.9   6.8  0.80   2.1   0.0
1   2007  50  364000   3.1   7.2  0.88   2.3   0.0
1   2007  51  542000   4.8  11.5  1.08   2.6   0.0
1   2007  52  190000   5.6   9.7  1.05   3.7   1.5
1   2007  53  649000   4.0  11.6  1.06   3.5   0.3
1   2007  54  402000   6.1  11.4  1.13   3.5   0.9
