*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 20150101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   2015   1  213000   1.0   4.7  0.75   5.4   0.0
1   2015   2  327000   4.4  10.1  1.02   6.1   4.3
1   2015   3   67000   2.6   5.9  0.83   3.3   1.5
1   2015   4  372000  -0.3   8.0  0.80   2.4   0.0
1   2015   5  127000   0.9   3.8  0.72   3.0   0.0
1   2015   6  270000   0.6   5.8  0.77   3.2   1.8
1   2015   7  345000   2.4   7.2  0.86   4.2   1.2
1   2015   8   32000   3.6   8.2  0.93   5.3  17.6
1   2015   9   94000   5.8  13.7  1.21   8.1   8.5
1   2015  10   82000   5.4  13.3  1.18   8.4   3.4
1   2015  11  209000   4.9   8.2  0.97   6.4   1.4
1   2015  12   67000   6.4  10.2  1.09   8.1   1.9
1   2015  13   82000   4.1  11.0  1.04   6.4  14.0
1   2015  14  192000   3.1   6.0  0.84   5.8   1.9
1   2015  15   42000   5.8  10.3  1.08   7.9   8.0
1   2015  16  395000   2.7   8.3  0.90   4.6   1.7
1   2015  17  498000  -0.9   5.9  0.73   3.8   0.0
1   2015  18   83000   1.0   3.3  0.71   2.9   4.7
1   2015  19  142000   0.5   1.6  0.66   1.2   0.0
1   2015  20  281000  -2.2   3.7  0.64   1.8   0.0
1   2015  21  264000  -1.9   1.5  0.60   3.0   0.0
1   2015  22  131000  -2.9   0.4  0.56   3.3   0.0
1   2015  23  136000  -5.7  -1.3  0.47   2.4   0.0
1   2015  24  483000  -1.7   6.8  0.73   3.3   8.6
1   2015  25  160000  -2.1   5.6  0.69   2.6   0.3
1   2015  26  114000   4.1   8.3  0.95   3.5   3.1
1   2015  27  316000   3.0   7.7  0.89   2.8   0.1
1   2015  28   52000   3.0   7.2  0.88   6.2   8.2
1   2015  29  190000   0.2   4.5  0.72   4.5  15.0
1   2015  30  584000  -0.3   4.4  0.71   3.0   8.3
1   2015  31  377000  -2.5   4.4  0.65   2.3   0.2
1   2015  32  297000  -1.5   5.7  0.71   2.4   2.1
1   2015  33  449000   0.6   5.5  0.76   2.7   5.5
1   2015  34  663000  -1.6   6.3  0.72   2.0   0.1
1   2015  35  504000  -4.0   5.3  0.64   2.1   0.0
1   2015  36  508000  -3.8   2.0  0.57   3.1   0.9
1   2015  37  767000  -2.0   3.1  0.64   4.9   0.0
1   2015  38  319000  -5.1   5.5  0.62   2.4   0.0
1   2015  39  513000   3.4   6.7  0.88   4.5   0.0
1   2015  40  163000   4.4   7.2  0.92   3.0   0.3
1   2015  41  228000   4.6   7.2  0.93   2.3   0.2
1   2015  42  162000   3.1   5.4  0.83   2.5   0.0
1   2015  43  285000  -0.3   4.5  0.71   1.9   0.0
1   2015  44  760000  -0.3   9.9  0.86   4.3   0.0
1   2015  45  374000   4.7  10.2  1.03   4.2   0.0
1   2015  46  858000  -3.5   6.7  0.69   2.9   0.0
1   2015  47  839000  -4.9   7.7  0.68   2.0   0.0
1   2015  48  409000  -3.0   9.0  0.76   2.2   0.1
1   2015  49  983000  -3.4   8.1  0.72   3.2   0.0
1   2015  50  701000  -0.3   7.4  0.79   5.2   0.0
1   2015  51   97000   3.4   6.5  0.87   5.0  20.0
1   2015  52  370000   0.4   6.3  0.78   2.5   9.4
1   2015  53  863000  -1.8   6.8  0.73   4.8   2.2
