*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 20130101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   2013   1  148000   4.9   8.8  0.99   4.2  14.5
1   2013   2  292000   4.1   8.6  0.96   3.9   0.2
1   2013   3  102000   7.6  11.6  1.19   3.9   0.7
1   2013   4   61000   8.3  10.3  1.17   3.8   0.8
1   2013   5   37000   7.4   8.8  1.08   2.4   0.2
1   2013   6  166000   6.9  10.1  1.11   2.6   0.0
1   2013   7   45000   6.1   8.4  1.02   3.4   0.0
1   2013   8  116000   6.0   8.4  1.02   4.3   0.0
1   2013   9   54000   4.0   7.9  0.93   3.4   7.1
1   2013  10  229000  -0.5   7.7  0.79   3.0   2.5
1   2013  11  273000  -2.4   3.8  0.64   1.6   0.0
1   2013  12  353000  -2.5   3.2  0.63   3.0   0.0
1   2013  13  452000  -5.1   0.6  0.52   3.5   0.0
1   2013  14  428000  -7.4  -1.9  0.43   2.5   0.0
1   2013  15  182000  -5.8  -1.6  0.46   3.8   4.4
1   2013  16  444000 -12.9  -1.7  0.35   1.9   0.0
1   2013  17  168000  -7.4  -2.8  0.42   1.4   0.0
1   2013  18  303000  -3.4  -0.1  0.54   4.0   0.0
1   2013  19  229000  -5.2  -2.4  0.46   6.3   0.0
1   2013  20  145000  -5.9  -2.7  0.44   6.5   1.6
1   2013  21  110000  -2.8  -1.1  0.53   3.5   0.4
1   2013  22  402000  -8.4  -1.3  0.43   2.3   0.0
1   2013  23  216000  -9.3  -2.8  0.39   2.3   0.0
1   2013  24  617000  -6.9  -0.4  0.47   2.5   0.0
1   2013  25  534000 -11.4  -1.9  0.37   2.5   0.0
1   2013  26  150000  -4.4   1.5  0.55   4.9   1.1
1   2013  27   94000   1.3   6.1  0.80   5.8   8.2
1   2013  28  470000   2.7   8.3  0.90   5.7   4.6
1   2013  29  121000   8.3  13.0  1.28   6.8   4.2
1   2013  30  306000   7.7  13.0  1.26   7.8   7.3
1   2013  31  263000   6.4  10.1  1.09   7.5   1.6
1   2013  32  114000   1.8   7.4  0.85   3.2   5.2
1   2013  33  557000   1.2   6.2  0.80   3.9   3.9
1   2013  34  263000   2.2   7.4  0.86   4.8   2.4
1   2013  35  550000   6.6  10.2  1.10   5.8   2.7
1   2013  36  475000   0.9   6.7  0.80   5.3   6.5
1   2013  37  671000   0.2   5.7  0.75   3.5   7.2
1   2013  38  561000   0.4   5.5  0.75   2.9   7.5
1   2013  39  552000  -1.6   4.2  0.67   2.4   0.1
1   2013  40  173000  -3.0   1.1  0.57   1.9   4.2
1   2013  41  734000  -1.8   1.1  0.60   5.2   0.5
1   2013  42  416000  -3.6   0.8  0.55   6.0   0.0
1   2013  43  269000  -3.7   0.7  0.55   3.3   0.0
1   2013  44  540000  -5.2   2.2  0.55   2.1   0.0
1   2013  45  175000  -2.2   1.3  0.59   5.2   3.7
1   2013  46  523000   1.1   8.0  0.84   2.0   0.1
1   2013  47  313000   2.4   7.8  0.88   1.3   0.7
1   2013  48  602000  -1.9   7.3  0.74   2.2   0.0
1   2013  49  753000  -1.4   7.1  0.75   1.3   0.0
1   2013  50  277000  -1.7   6.0  0.71   2.4   0.1
1   2013  51  679000  -2.4   3.0  0.62   3.9   0.0
1   2013  52  464000  -2.9   1.1  0.57   4.0   0.0
1   2013  53  561000  -4.0   1.3  0.55   4.8   0.0
