*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 19890101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   1989   1   95000   5.5   8.6  1.00   1.0   0.0
1   1989   2  144000   2.1   8.4  0.89   1.5   0.0
1   1989   3  153000  -0.6   5.0  0.72   2.6   0.0
1   1989   4   53000   0.7   5.6  0.77   4.6   7.1
1   1989   5  196000   2.9   7.1  0.87   4.1   7.2
1   1989   6  140000   4.0  10.5  1.02   2.6   2.6
1   1989   7  184000   2.4   9.1  0.92   2.1   0.3
1   1989   8   63000   8.3  10.4  1.18   3.6   0.2
1   1989   9   59000   7.2   9.2  1.09   4.6   0.3
1   1989  10   94000   1.0   8.3  0.85   3.1   3.3
1   1989  11  269000   0.3   6.0  0.77   3.1   0.0
1   1989  12   73000   3.5   8.6  0.94   4.6   3.5
1   1989  13  383000   2.8   8.7  0.92   4.1   0.0
1   1989  14  230000   5.0  10.2  1.04   5.7   1.3
1   1989  15  253000   5.1   8.9  1.00   5.7   0.0
1   1989  16  100000   5.3   9.3  1.02   4.1   0.0
1   1989  17   68000  -0.1   6.1  0.76   3.6   0.6
1   1989  18  215000  -1.5   3.8  0.66   2.1   0.0
1   1989  19   98000  -0.1   2.2  0.66   2.1   0.0
1   1989  20   85000  -0.3   3.0  0.67   2.6   0.0
1   1989  21  127000   2.6   6.5  0.84   4.1   1.2
1   1989  22  468000   0.0   9.6  0.86   1.5   0.0
1   1989  23  444000   0.8   6.7  0.80   3.1   0.0
1   1989  24  106000  -0.9   0.8  0.61   2.6   0.0
1   1989  25  274000  -1.8   2.1  0.62   3.1   0.0
1   1989  26  530000  -1.6   6.6  0.73   2.1   0.0
1   1989  27  530000  -1.1   9.4  0.82   2.6   0.0
1   1989  28  547000   0.1   9.2  0.85   3.6   1.0
1   1989  29  267000   0.7   7.2  0.81   2.1   0.0
1   1989  30  435000   0.1   9.0  0.84   3.1   0.0
1   1989  31  208000   0.2   3.9  0.71   2.1   0.0
1   1989  32   77000   0.3   3.8  0.71   3.1   0.0
1   1989  33  133000   0.2   2.6  0.68   2.6   0.0
1   1989  34  170000   0.5   3.5  0.71   4.1   0.0
1   1989  35  251000   1.7   4.2  0.75   5.1   0.0
1   1989  36  495000   4.2  10.5  1.03   4.6   4.3
1   1989  37  415000   8.3  12.7  1.27   6.7   0.0
1   1989  38  635000   4.5  12.6  1.11   4.6   0.0
1   1989  39  665000   0.9  10.7  0.92   1.5   0.0
1   1989  40  755000   0.1  10.3  0.88   2.6   0.0
1   1989  41  688000   0.5   9.7  0.88   2.6   0.0
1   1989  42  446000   1.3   9.9  0.91   2.6   0.0
1   1989  43  235000   4.5   8.7  0.97   4.6   0.6
1   1989  44  545000  -0.8   8.6  0.81   5.1   6.9
1   1989  45  581000   3.5   8.5  0.93   6.7   0.6
1   1989  46  137000   4.3   9.9  1.01   6.7   2.0
1   1989  47  462000  -1.7   7.0  0.74   3.1   0.3
1   1989  48  469000  -3.9   6.7  0.68   3.6   1.0
1   1989  49   64000   6.0  12.8  1.18   6.7   8.8
1   1989  50  322000   9.5  12.9  1.33   5.7   4.7
1   1989  51  645000   2.5   9.8  0.94   4.1   0.6
1   1989  52  812000  -1.4  10.4  0.84   1.5   0.0
1   1989  53  748000  -2.1   9.4  0.79   3.6   1.8
