*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 19810101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   1981   1  230000   0.7   8.0  0.83   6.2   5.7
1   1981   2   29000   3.4   8.4  0.93   5.7  20.1
1   1981   3  152000   3.8  10.4  1.01   7.7   7.5
1   1981   4  210000   0.3   6.3  0.77   4.6   3.7
1   1981   5  318000   0.2   4.5  0.72   2.6   0.6
1   1981   6  260000  -2.4   2.3  0.61   2.6   4.9
1   1981   7  400000  -3.1   2.9  0.61   1.5   0.0
1   1981   8   87000  -4.0   2.7  0.58   2.6   0.7
1   1981   9  114000   2.7   7.0  0.86   3.6  11.0
1   1981  10  296000   1.1   4.9  0.76   3.6   1.5
1   1981  11  462000  -3.6   3.6  0.61   2.1   0.0
1   1981  12   57000  -3.5   1.3  0.56   4.1  10.0
1   1981  13  410000  -2.5   2.5  0.61   2.6   1.3
1   1981  14   38000  -0.5   7.5  0.78   6.7  20.1
1   1981  15  255000  -0.9   4.3  0.69   4.1   7.8
1   1981  16  287000  -2.7   3.7  0.63   3.1   5.1
1   1981  17  211000   2.3   5.7  0.81   3.6   1.1
1   1981  18  337000  -0.1   3.0  0.68   2.6   0.0
1   1981  19  141000  -0.1   6.3  0.76   5.1   5.4
1   1981  20  276000  -1.1   2.8  0.65   2.1   1.2
1   1981  21  220000  -1.6   1.6  0.61   2.6   0.1
1   1981  22   80000   1.3   3.8  0.73   2.1   0.8
1   1981  23  101000   3.8   6.0  0.87   1.5   0.1
1   1981  24   57000   1.7   6.5  0.82   2.6   1.8
1   1981  25  186000   1.1   6.5  0.80   2.6   0.0
1   1981  26  484000  -2.4   7.0  0.72   1.0   2.5
1   1981  27   97000   3.3   7.4  0.89   1.5   1.1
1   1981  28  138000   4.0   6.1  0.88   1.0   0.0
1   1981  29  126000   3.2   5.3  0.83   1.0   0.0
1   1981  30  113000  -0.6   4.8  0.71   1.5   0.0
1   1981  31  435000   0.3   8.3  0.83   2.1   0.1
1   1981  32  159000  -1.5   5.6  0.71   2.1   0.0
1   1981  33  575000  -0.4   8.0  0.80   4.1   0.0
1   1981  34  389000   4.8   9.3  1.00   5.7  15.9
1   1981  35  219000   0.9   5.4  0.77   3.1   1.7
1   1981  36  221000  -0.7   4.4  0.70   2.6   1.6
1   1981  37  135000   3.8   9.4  0.97   3.6   1.6
1   1981  38  220000   7.6  10.7  1.16   4.6   0.0
1   1981  39  174000   7.3   9.6  1.11   4.1   0.6
1   1981  40  176000   5.3   8.3  0.99   2.6   0.0
1   1981  41  263000   0.4   5.6  0.76   6.2   5.6
1   1981  42  594000  -2.4   4.2  0.65   2.1   0.6
1   1981  43  449000  -4.2   3.1  0.59   1.0   0.1
1   1981  44  828000  -4.1   2.2  0.57   2.1   0.0
1   1981  45  782000  -6.5   2.3  0.52   0.5   0.0
1   1981  46  655000  -4.0   3.6  0.60   0.5   0.0
1   1981  47  609000  -6.1   3.3  0.55   1.0   0.0
1   1981  48  253000   0.4   3.5  0.70   2.6   0.0
1   1981  49  194000  -1.7   2.0  0.62   4.1   0.0
1   1981  50  204000  -1.5   0.8  0.60   4.1   0.0
1   1981  51  446000  -4.7  -0.2  0.51   3.6   1.2
1   1981  52  903000  -6.9  -0.3  0.47   2.1   0.0
1   1981  53  845000  -6.8   1.4  0.50   3.6   0.0
