*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 19800101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   1980   1  253000  -0.8   2.3  0.64   2.6   5.8
1   1980   2  255000  -2.1   2.9  0.63   1.5   0.6
1   1980   3   80000  -6.3   0.5  0.49   2.6   1.3
1   1980   4   40000  -0.4   3.8  0.69   5.1   9.1
1   1980   5   97000   3.0   4.9  0.81   3.6   4.2
1   1980   6  101000   4.0   6.3  0.88   2.6   6.2
1   1980   7  125000   0.8   4.7  0.74   2.1   0.3
1   1980   8   62000  -0.4   3.1  0.67   2.6   0.8
1   1980   9  123000  -0.4   1.0  0.62   3.1   0.0
1   1980  10  131000  -1.7   0.5  0.58   2.6   0.0
1   1980  11   52000  -6.0  -1.4  0.46   3.1   0.0
1   1980  12  488000  -7.3  -2.7  0.42   3.6   0.0
1   1980  13  463000 -10.0  -1.8  0.39   1.5   0.0
1   1980  14  208000 -11.0  -2.7  0.37   2.1   0.0
1   1980  15  162000  -7.0  -1.8  0.44   1.5   0.0
1   1980  16  308000  -4.1  -0.1  0.52   2.6   0.0
1   1980  17  441000  -5.8  -0.7  0.48   2.6   0.0
1   1980  18  434000  -7.4  -2.0  0.43   3.1   0.0
1   1980  19  413000  -7.3   3.1  0.52   2.6   0.0
1   1980  20   95000  -4.1   1.6  0.56   3.1   0.3
1   1980  21  137000  -0.4   4.7  0.71   6.7   5.6
1   1980  22  110000   2.0   5.3  0.79   6.2   0.9
1   1980  23  202000   1.8   5.0  0.78   4.6   1.0
1   1980  24  141000  -0.1   3.4  0.69   3.6   0.3
1   1980  25  212000   0.4   5.0  0.74   3.1   2.0
1   1980  26  322000  -1.7   4.2  0.67   2.6   0.7
1   1980  27  464000  -0.8   4.7  0.70   2.1   0.5
1   1980  28  102000  -2.7   0.1  0.56   2.1   3.4
1   1980  29  148000  -0.2   3.2  0.68   2.1   0.1
1   1980  30  239000   3.0   9.1  0.94   5.7   0.6
1   1980  31  321000   2.9  10.7  0.99   4.1  23.9
1   1980  32  515000  -0.9   4.0  0.68   3.6   0.5
1   1980  33   56000  -0.8   6.5  0.75   4.1  10.9
1   1980  34   79000   2.1   6.1  0.82   3.1   9.4
1   1980  35  261000   0.3   4.3  0.72   3.6   5.3
1   1980  36   98000   4.3   8.6  0.96   5.1  15.7
1   1980  37   87000   6.0   7.8  0.99   3.1   4.7
1   1980  38  160000   3.3   8.9  0.94   3.6   1.2
1   1980  39  239000   3.2  10.6  0.99   3.6   0.5
1   1980  40  504000   5.8  12.3  1.15   3.1   0.0
1   1980  41  317000   3.2   9.2  0.95   3.6   0.4
1   1980  42  234000   1.3   8.8  0.88   2.6   0.4
1   1980  43  150000   1.0   7.2  0.82   1.5   0.2
1   1980  44  382000   0.7   8.0  0.83   1.5   0.0
1   1980  45  420000  -2.1   5.2  0.68   1.5   0.2
1   1980  46  202000   2.9   7.1  0.87   3.1   3.3
1   1980  47  293000   5.1   7.5  0.95   2.1   0.0
1   1980  48  440000   1.8   9.8  0.92   1.5   0.0
1   1980  49  625000   1.9   8.9  0.90   2.6   0.0
1   1980  50  899000  -0.6   6.6  0.76   4.1   0.0
1   1980  51  854000  -0.3   8.9  0.83   4.1   0.0
1   1980  52  946000   1.4  10.3  0.93   3.1   0.0
1   1980  53  950000   0.8  11.3  0.94   3.6   0.0
