*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 20080101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   2008   1  192000  -0.6   4.5  0.70   3.2   0.0
1   2008   2  385000  -2.4   1.8  0.60   4.8   0.0
1   2008   3  221000  -1.8   1.8  0.61   6.0   0.1
1   2008   4  106000   1.5   5.9  0.80   5.5   0.4
1   2008   5  163000   4.6   8.5  0.97   5.5   8.7
1   2008   6  385000   1.4   7.8  0.85   3.3   1.4
1   2008   7  193000   3.6   9.0  0.95   6.8   5.4
1   2008   8  128000   4.2   7.8  0.93   5.2   0.0
1   2008   9  243000   4.6   8.7  0.98   5.9   1.2
1   2008  10  235000   4.6  10.4  1.04   6.5   2.8
1   2008  11  113000   8.4  11.0  1.20   5.4  12.6
1   2008  12  250000   2.8   8.6  0.92   4.9   0.5
1   2008  13  197000   2.5   9.2  0.93   5.0   0.3
1   2008  14  249000   2.3   9.1  0.92   6.3   0.1
1   2008  15   59000   7.1  10.1  1.12   8.5   8.2
1   2008  16  291000   1.6   9.9  0.92   5.6   0.0
1   2008  17  105000   0.8   9.7  0.89   5.2   3.9
1   2008  18  103000   7.4  12.3  1.22   6.9  10.0
1   2008  19   43000   9.7  12.4  1.32   5.3  14.7
1   2008  20   53000  10.4  12.5  1.35   7.4   1.7
1   2008  21   94000   8.7  11.0  1.22   7.8  11.3
1   2008  22  471000   0.4   9.3  0.86   3.4   0.9
1   2008  23   74000   2.3  10.3  0.95   5.2   0.9
1   2008  24   72000   3.2  10.3  0.98   5.0   2.0
1   2008  25  283000   2.4   9.2  0.92   5.9   0.0
1   2008  26  461000   6.1  11.3  1.12   6.0   0.0
1   2008  27  311000   7.6   9.7  1.12   4.5   0.1
1   2008  28  197000   7.1   9.6  1.10   2.4   0.0
1   2008  29  125000   5.7   7.1  0.96   3.8   0.0
1   2008  30  246000   0.6   7.3  0.81   3.2   3.6
1   2008  31  175000   1.4   7.3  0.83   7.9   5.5
1   2008  32  348000   1.9   7.9  0.87   7.3   0.9
1   2008  33  556000   0.4   6.2  0.77   4.6   7.8
1   2008  34  530000   0.9   4.8  0.75   5.6   0.0
1   2008  35  225000   3.3   8.3  0.92   5.0   0.2
1   2008  36  103000   3.7  11.5  1.04   7.0   5.4
1   2008  37  181000   1.5  10.8  0.94   5.0   1.3
1   2008  38  392000  -0.8   8.1  0.79   3.1   0.0
1   2008  39  752000   2.7  11.7  1.02   3.2   0.0
1   2008  40  787000   0.9  12.4  0.98   2.5   0.0
1   2008  41  777000  -0.3  13.4  0.97   2.5   0.0
1   2008  42  782000  -1.3  14.1  0.96   2.5   0.0
1   2008  43  806000  -2.3  14.1  0.93   1.7   0.0
1   2008  44  162000  -0.8   3.4  0.67   2.3   0.0
1   2008  45  147000   0.5   5.0  0.74   2.5   0.0
1   2008  46  954000  -1.7   5.2  0.69   4.4   0.0
1   2008  47  983000  -3.7   4.2  0.62   3.8   0.0
1   2008  48  986000  -6.9   8.4  0.64   1.6   0.0
1   2008  49  837000  -5.9   8.0  0.66   1.0   0.0
1   2008  50  298000  -1.2   5.4  0.71   2.0   0.0
1   2008  51  497000  -1.5   4.8  0.69   1.5   0.0
1   2008  52  213000   2.4   9.9  0.94   5.6   0.9
1   2008  53  175000   8.5  10.8  1.20   7.3   0.3
