*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 20010101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   2001   1   47000   1.0   6.3  0.79   5.8   9.5
1   2001   2  229000   5.6  11.2  1.10   6.0   0.3
1   2001   3  316000   4.5   9.9  1.02   5.3   4.0
1   2001   4   41000   5.8   9.1  1.03   6.2   4.9
1   2001   5   16000   6.2  10.7  1.11   5.9  18.9
1   2001   6  165000   4.1   7.6  0.93   4.0   2.1
1   2001   7   85000   3.6   6.8  0.88   4.4   0.3
1   2001   8  122000   1.3   5.5  0.78   3.8   1.7
1   2001   9  245000   1.1   5.5  0.77   2.5   0.0
1   2001  10  198000   0.5   4.1  0.72   3.8   0.0
1   2001  11  447000  -1.8   4.0  0.66   4.9   0.0
1   2001  12  200000  -3.7   5.2  0.64   2.4   0.0
1   2001  13  500000  -3.2   3.1  0.61   3.5   0.0
1   2001  14   89000  -5.3   0.7  0.52   3.6   0.0
1   2001  15  507000  -4.8   1.5  0.54   4.1   0.0
1   2001  16  515000  -6.4   1.9  0.52   2.5   0.0
1   2001  17  567000  -9.0   1.0  0.45   1.3   0.0
1   2001  18   60000  -8.8  -0.5  0.43   1.0   0.4
1   2001  19  160000  -1.3   0.3  0.59   1.3   0.0
1   2001  20  102000  -1.0   1.3  0.62   2.4   1.3
1   2001  21  383000  -1.8   0.7  0.59   4.3   5.1
1   2001  22  119000   0.6   5.7  0.77   3.7   2.1
1   2001  23  246000   4.8  10.7  1.05   5.3   3.7
1   2001  24  310000   3.0  11.9  1.03   6.3   1.4
1   2001  25  153000   3.0   8.1  0.91   4.2   1.1
1   2001  26  124000   2.6   6.1  0.83   4.4   1.1
1   2001  27  149000   3.0   5.6  0.83   4.2  10.2
1   2001  28  381000   1.4   7.7  0.84   2.6   2.3
1   2001  29  493000  -1.1   6.0  0.73   1.2   0.0
1   2001  30  271000  -2.9   4.2  0.64   1.6   0.0
1   2001  31  258000  -0.2   3.4  0.69   2.0   0.0
1   2001  32  280000  -1.6   3.1  0.64   2.0   0.3
1   2001  33   93000  -0.1   1.6  0.64   3.0   5.0
1   2001  34  153000  -0.5   4.0  0.69   2.8   8.5
1   2001  35   95000  -0.2   9.3  0.84   3.2  25.3
1   2001  36  150000   7.9  10.2  1.15   6.5   4.8
1   2001  37  168000   8.6  12.9  1.29   6.4   5.0
1   2001  38  425000   9.0  12.3  1.28   4.8   4.4
1   2001  39  296000   2.7  11.7  1.02   5.6  16.2
1   2001  40  643000  -2.4   7.0  0.72   2.3   0.1
1   2001  41  740000  -3.2   7.0  0.70   3.7   0.5
1   2001  42  148000   5.0  12.5  1.13   6.1   0.3
1   2001  43  213000   5.8  12.9  1.18   5.2   3.8
1   2001  44  746000   1.0   9.4  0.88   3.8   0.0
1   2001  45  456000  -0.3   7.3  0.78   2.0   0.0
1   2001  46  904000  -1.6  13.2  0.92   1.4   0.0
1   2001  47  169000  -1.6   5.0  0.69   2.4   2.1
1   2001  48  194000   0.9   5.3  0.76   3.5   0.0
1   2001  49  506000  -0.2   8.6  0.82   2.1   0.0
1   2001  50  346000   2.8   6.7  0.86   3.5   1.0
1   2001  51  504000   2.1   8.8  0.90   3.4   0.0
1   2001  52  360000   3.0  10.1  0.97   3.3   2.2
1   2001  53  640000   1.9   8.9  0.90   4.2   2.6
