*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 19840101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   1984   1   85000   8.2  10.0  1.16   9.3  14.9
1   1984   2  239000   4.5   9.4  1.00   6.2  11.4
1   1984   3  357000   2.1   9.5  0.92   8.7  15.1
1   1984   4  198000   0.9   7.1  0.81   4.1   3.6
1   1984   5  183000   0.3   5.9  0.76   4.1   3.1
1   1984   6  109000   1.4   6.3  0.80   3.1   0.1
1   1984   7  263000   4.2   8.1  0.94   5.7  10.9
1   1984   8  149000   1.7   5.6  0.79   4.1   4.5
1   1984   9  339000   1.0   5.8  0.78   1.5   0.3
1   1984  10  181000  -0.4   5.3  0.73   3.6   0.0
1   1984  11   37000   5.2   7.8  0.97   7.7   2.5
1   1984  12  244000   2.0   7.2  0.85   4.6   4.6
1   1984  13   53000   1.7  11.0  0.96   8.7   9.6
1   1984  14  152000   3.5  10.8  1.01   8.2   5.9
1   1984  15  224000   0.5   4.7  0.74   5.7   2.0
1   1984  16  179000   2.3  10.2  0.95   6.7  13.4
1   1984  17  204000   1.7   9.0  0.89   7.7   0.3
1   1984  18  247000   0.3   5.5  0.75   4.1   0.1
1   1984  19  160000  -2.9   2.5  0.60   1.0   1.2
1   1984  20  499000  -3.4   4.9  0.64   1.5   0.0
1   1984  21  392000  -4.5   0.0  0.52   3.1   0.0
1   1984  22  148000  -4.0  -2.1  0.49   4.6   2.3
1   1984  23  139000  -8.8   2.1  0.48   4.6  10.4
1   1984  24  196000   0.2   2.4  0.67   5.1   3.4
1   1984  25  487000  -3.0   3.9  0.63   2.1   0.0
1   1984  26  131000  -1.1   1.7  0.62   5.7   0.1
1   1984  27  375000   1.3   5.6  0.78   4.6   0.0
1   1984  28   35000   3.5   5.3  0.84   4.6   4.4
1   1984  29   70000   2.8   6.4  0.85   3.6   5.7
1   1984  30  236000   3.1   6.6  0.86   4.1   1.4
1   1984  31  511000   0.6   7.5  0.82   4.6   2.0
1   1984  32  222000  -0.3   4.7  0.72   3.6   3.2
1   1984  33  141000   3.5   6.8  0.88   4.6   6.1
1   1984  34   42000   4.2   8.4  0.95   6.2   6.6
1   1984  35  247000   2.6   9.7  0.94   4.6   2.1
1   1984  36  479000   2.8   9.4  0.94   5.7   6.9
1   1984  37  153000   4.9   9.1  1.00   6.7  20.5
1   1984  38  292000   1.9   6.6  0.83   6.7   0.6
1   1984  39  322000   1.3   6.3  0.80   6.2  16.6
1   1984  40  764000   1.0   6.4  0.80   4.1   1.7
1   1984  41  514000  -0.4   8.3  0.81   2.1   0.0
1   1984  42  449000   4.1   8.7  0.96   2.1   0.4
1   1984  43  814000  -1.6   5.0  0.69   2.6   0.0
1   1984  44  842000  -3.3   6.0  0.67   2.1   0.0
1   1984  45  605000  -2.5   2.2  0.60   2.1   0.0
1   1984  46  390000  -4.5  -0.5  0.51   2.1   0.0
1   1984  47  673000  -5.6   1.1  0.52   1.0   0.0
1   1984  48  444000  -5.1  -1.7  0.48   1.0   0.0
1   1984  49  779000  -6.2   3.4  0.55   2.6   0.0
1   1984  50  748000  -5.7   2.7  0.55   4.1   0.0
1   1984  51  716000  -4.6   1.7  0.55   3.6   0.0
1   1984  52  472000   0.9   7.5  0.82   4.6   2.9
1   1984  53  301000   0.5   5.3  0.75   2.1   0.1
