*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 19930101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   1993   1  396000  -8.5  -0.4  0.44   1.5   0.0
1   1993   2  403000  -8.8   0.4  0.45   3.6   0.0
1   1993   3  371000 -10.3  -3.3  0.37   3.1   0.0
1   1993   4  188000  -9.6  -1.9  0.40   3.6   0.0
1   1993   5   74000  -1.9   5.4  0.69   5.1   9.1
1   1993   6   45000   5.3   9.6  1.03   5.7  13.4
1   1993   7  225000   0.2   9.4  0.86   3.1   1.2
1   1993   8  338000   1.3   9.7  0.90   4.1   2.4
1   1993   9   67000   0.7  11.2  0.93   6.2   3.2
1   1993  10   52000   8.1  12.4  1.25   8.2   2.5
1   1993  11   86000   6.6  11.7  1.16   8.2   3.5
1   1993  12  351000   3.3   7.8  0.91   6.7   3.4
1   1993  13  145000   4.1  15.1  1.19   7.7   2.3
1   1993  14  399000   4.1   8.6  0.96   5.7   0.0
1   1993  15  183000   3.6  12.5  1.08   6.7   0.2
1   1993  16  130000   9.4  14.1  1.38   7.2   0.0
1   1993  17  203000   5.1  11.5  1.09   5.7   0.5
1   1993  18  461000   3.6   8.4  0.93   4.1   0.0
1   1993  19  142000   3.7   9.3  0.97   5.1   0.9
1   1993  20   48000   8.7  11.0  1.22   7.7  16.1
1   1993  21  285000   7.4  12.3  1.22   7.7   3.2
1   1993  22   66000   6.4  12.2  1.17   8.2   8.3
1   1993  23  296000   5.3  11.6  1.11   6.2   0.6
1   1993  24  215000   4.7  12.0  1.10   9.8   3.1
1   1993  25  170000   0.9   7.1  0.81   6.7   3.4
1   1993  26  116000   0.9   5.6  0.77   5.7   2.8
1   1993  27  247000   1.4   6.1  0.80   2.6   0.0
1   1993  28  175000   2.6   9.3  0.93   3.6   3.3
1   1993  29   57000  -0.1   8.6  0.83   3.6   1.1
1   1993  30  256000  -1.2   3.9  0.67   3.6   0.0
1   1993  31  350000  -2.3   3.9  0.65   1.5   0.0
1   1993  32  669000  -5.1   1.5  0.54   3.1   0.0
1   1993  33   80000   0.4   3.1  0.69   3.1   0.1
1   1993  34  113000  -0.1   3.7  0.70   2.1   0.0
1   1993  35  183000  -1.2   0.9  0.60   2.1   0.0
1   1993  36  102000   0.2   4.0  0.71   3.6   0.0
1   1993  37   99000   3.1   7.0  0.88   3.1   1.1
1   1993  38  154000   3.9   7.1  0.90   1.5   0.1
1   1993  39  186000   3.6   6.3  0.87   2.6   0.0
1   1993  40  150000   3.6   5.5  0.84   3.6   0.1
1   1993  41  243000   1.9   3.9  0.75   3.1   0.0
1   1993  42  105000  -0.3   2.1  0.65   3.1   0.0
1   1993  43  593000  -1.4   5.7  0.71   1.5   0.0
1   1993  44  362000  -2.1   1.1  0.59   1.5   0.0
1   1993  45  165000  -2.3   0.0  0.56   2.6   0.0
1   1993  46  248000  -0.5   3.3  0.68   2.6   0.0
1   1993  47  481000   0.4   8.6  0.84   2.6   1.2
1   1993  48  196000   3.5   8.4  0.93   4.1   2.7
1   1993  49  239000   2.6   7.9  0.89   4.1   1.4
1   1993  50  475000   3.2   7.9  0.91   7.7   1.1
1   1993  51  495000   1.7   7.5  0.85   5.7   3.0
1   1993  52  544000   1.0   6.3  0.79   7.7   2.1
1   1993  53  742000  -0.9   5.2  0.71   3.6   2.7
