*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 19870101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   1987   1   82000   3.7   8.2  0.93   3.1   8.4
1   1987   2   78000  -2.9   7.4  0.72   6.2   1.8
1   1987   3  353000  -5.6   5.2  0.60   2.1   0.2
1   1987   4   56000   1.1   5.6  0.78   5.1   7.9
1   1987   5  162000   4.9   7.2  0.94   6.2   0.4
1   1987   6  175000  -1.2   5.8  0.72   4.6   5.2
1   1987   7  178000  -4.7   0.0  0.51   2.6   0.0
1   1987   8  144000  -7.6   0.9  0.48   2.6   1.0
1   1987   9  170000  -3.4   0.0  0.54   3.1   0.0
1   1987  10  305000  -9.0  -3.4  0.38   6.2   0.0
1   1987  11  473000 -13.3  -9.0  0.26   3.6   0.0
1   1987  12  488000 -14.4  -7.6  0.26   2.6   0.0
1   1987  13  354000 -14.5  -7.0  0.27   4.6   0.0
1   1987  14  395000 -15.2 -10.6  0.23   6.7   0.0
1   1987  15  335000 -12.1  -7.0  0.30   8.2   0.0
1   1987  16  121000  -8.4  -6.8  0.34   4.6   0.0
1   1987  17  158000  -9.1  -6.1  0.34   1.5   0.0
1   1987  18  243000  -6.6  -4.8  0.40   2.1   0.0
1   1987  19  115000  -6.6  -4.9  0.40   1.0   0.0
1   1987  20  121000  -5.8  -3.0  0.44   1.0   0.0
1   1987  21  107000  -3.2   0.2  0.55   1.5   0.0
1   1987  22   92000   0.1   1.8  0.65   1.0   0.2
1   1987  23  158000   1.2   5.7  0.78   2.1   0.0
1   1987  24   84000  -0.2   3.9  0.70   2.1   0.0
1   1987  25   56000   0.4   3.2  0.70   2.6   0.0
1   1987  26  283000  -2.7   4.9  0.66   2.1   0.1
1   1987  27  426000  -4.7   2.2  0.56   1.5   0.0
1   1987  28  379000  -2.1   4.5  0.67   2.6   0.0
1   1987  29  663000  -8.0   0.8  0.47   2.6   0.0
1   1987  30  653000 -10.4  -1.5  0.39   2.1   0.0
1   1987  31  664000 -11.1   1.5  0.43   1.0   0.0
1   1987  32  610000 -10.8   1.2  0.43   1.5   0.0
1   1987  33  582000  -5.4   2.2  0.54   3.1   0.0
1   1987  34   94000  -2.9   1.9  0.59   1.5   0.2
1   1987  35  202000   1.6   4.0  0.75   1.5   0.0
1   1987  36  170000   2.1   5.9  0.81   3.6   0.0
1   1987  37   49000   3.4   8.6  0.93   6.7   2.3
1   1987  38  599000  -1.8   6.7  0.73   2.6   0.0
1   1987  39   81000  -0.8   7.7  0.78   4.1   3.9
1   1987  40  214000   4.7  10.4  1.04   2.6   2.2
1   1987  41  432000   2.8   7.5  0.88   6.2   0.5
1   1987  42  672000  -0.5   8.1  0.80   2.1   0.6
1   1987  43  125000   2.4   4.1  0.77   2.1   2.1
1   1987  44  600000  -0.4   6.6  0.76   2.6   0.0
1   1987  45  383000   0.9   6.1  0.78   3.1   0.0
1   1987  46  147000   0.4   2.4  0.68   4.6   5.8
1   1987  47  684000  -1.8   3.9  0.66   3.1   0.0
1   1987  48  638000  -2.5   3.1  0.62   2.6   0.0
1   1987  49  182000  -1.4   0.4  0.59   3.6   1.6
1   1987  50  873000  -2.7   1.2  0.58   4.1   0.3
1   1987  51  373000  -4.7  -0.5  0.50   5.7   0.0
1   1987  52  920000  -2.7   3.7  0.63   5.7   0.0
