*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 19860101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   1986   1   99000  -5.5  -0.9  0.48   4.6   0.0
1   1986   2  124000  -1.6   4.6  0.68   4.6   8.7
1   1986   3   70000  -2.0   4.7  0.67   2.6   4.4
1   1986   4  280000  -3.5   3.0  0.60   2.6   0.7
1   1986   5   37000   0.1   1.6  0.65   4.1  11.9
1   1986   6  226000  -1.3   2.2  0.63   1.5   0.9
1   1986   7  137000  -7.6  -0.9  0.45   2.1   0.0
1   1986   8  205000  -3.8  -0.8  0.52   4.6   0.0
1   1986   9  288000  -6.8  -2.1  0.44   2.6   0.0
1   1986  10   59000  -4.9   6.2  0.64   5.1   6.8
1   1986  11  265000   2.5   6.3  0.84   4.6   0.0
1   1986  12  188000   2.6   6.4  0.84   5.7   0.0
1   1986  13  100000   5.0   9.8  1.03   6.7   5.2
1   1986  14  159000   4.3   9.7  1.00   7.7   4.9
1   1986  15  226000   0.0   6.7  0.78   5.1   2.1
1   1986  16  318000   0.8   4.8  0.75   3.6   0.0
1   1986  17  357000  -1.7   5.2  0.69   2.1   0.0
1   1986  18   41000   0.0   9.5  0.86   5.7   8.5
1   1986  19   40000   5.4  11.0  1.09   8.7  15.3
1   1986  20  428000   4.5   7.8  0.94   6.7   0.0
1   1986  21   90000   5.4   7.1  0.95   7.2   3.7
1   1986  22  389000   3.1   8.3  0.92   7.2   9.2
1   1986  23  331000   2.7   8.4  0.91   6.2   4.4
1   1986  24  319000   1.4   5.0  0.77   5.1   2.4
1   1986  25  520000  -0.1   5.4  0.74   4.1   0.3
1   1986  26  527000  -4.4   4.6  0.62   1.5   0.0
1   1986  27  103000  -5.3  -0.1  0.50   3.1   0.0
1   1986  28  494000  -1.4   4.3  0.68   4.1   2.0
1   1986  29  360000   0.1   3.4  0.69   5.7   0.0
1   1986  30  391000  -1.7   2.5  0.63   4.6   0.0
1   1986  31  114000   0.9   2.5  0.69   7.7   0.0
1   1986  32   53000   0.8   3.7  0.72   7.7   0.0
1   1986  33   61000   0.0   3.3  0.69   5.7   0.0
1   1986  34   87000  -1.2   0.0  0.58   5.7   0.0
1   1986  35  589000  -4.0   0.1  0.53   5.7   0.0
1   1986  36  714000  -6.2   0.0  0.49   3.6   0.0
1   1986  37  425000  -6.3  -2.1  0.45   4.6   0.0
1   1986  38  612000  -5.8   0.1  0.49   4.1   0.0
1   1986  39  603000  -7.3  -2.8  0.42   3.6   0.0
1   1986  40  601000 -10.5  -5.9  0.33   2.6   0.0
1   1986  41  298000  -7.2  -0.8  0.45   4.6   0.0
1   1986  42  423000  -2.6   0.7  0.57   3.6   0.0
1   1986  43  832000  -5.5   2.6  0.55   3.6   0.0
1   1986  44  867000  -7.7   3.0  0.51   4.6   0.0
1   1986  45  433000  -6.4   0.0  0.48   5.7   0.0
1   1986  46  745000  -6.1   1.1  0.51   5.1   0.0
1   1986  47  460000  -6.6  -0.6  0.47   5.1   0.0
1   1986  48  823000  -5.3   2.3  0.55   7.7   0.0
1   1986  49  272000  -6.6  -0.6  0.47   4.6   0.0
1   1986  50  253000  -6.9  -1.5  0.45   4.1   0.0
1   1986  51  862000 -11.6  -1.3  0.38   1.5   0.0
1   1986  52 1095000 -14.6  -1.9  0.33   1.0   0.0
