*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 20090101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
1   2009  96 1631000   4.0  19.3  1.37   2.9   0.0
1   2009  97  562000   7.4  13.3  1.26   2.8   0.0
1   2009  98  659000   3.3  12.4  1.06   4.6   2.2
1   2009  99  736000   2.9  17.3  1.24   2.7   0.1
1   2009 100 1707000  11.4  23.7  2.01   4.4   0.2
1   2009 101 1266000  11.6  21.4  1.88   2.1   0.2
1   2009 102 1096000   8.6  18.6  1.56   2.3   5.8
1   2009 103 1806000   6.9  18.1  1.45   2.4   0.0
1   2009 104 1751000   6.5  19.3  1.49   2.6   0.0
1   2009 105 1954000   9.1  23.6  1.86   3.8   0.0
1   2009 106 1183000   9.8  19.0  1.64   2.5   0.3
1   2009 107 1473000   8.6  17.8  1.52   3.7   2.3
1   2009 108 2264000   5.1  18.6  1.39   5.0   0.0
1   2009 109 1662000   5.9  17.9  1.39   2.5   0.0
1   2009 110 2132000   3.9  20.3  1.41   3.0   0.0
1   2009 111 2301000   5.6  18.6  1.41   2.8   0.0
1   2009 112 2304000   5.3  15.0  1.24   3.3   0.0
1   2009 113 1755000   4.5  16.1  1.25   2.0   0.0
1   2009 114 2304000   3.9  18.8  1.34   4.0   0.0
1   2009 115 1808000   7.7  20.2  1.59   3.6   0.0
1   2009 116 1099000  10.1  17.7  1.59   1.7   2.8
1   2009 117 1475000   8.3  16.4  1.43   4.0   4.4
1   2009 118  638000   3.2  12.6  1.07   2.3   1.6
1   2009 119 1592000   2.4  16.7  1.19   1.8   0.0
1   2009 120 2097000   2.8  19.4  1.32   2.1   0.0
1   2009 121 2120000   7.3  22.3  1.68   2.0   0.0
1   2009 122 1585000   5.7  18.7  1.42   2.3   0.0
1   2009 123 1196000   4.6  14.4  1.19   2.9   0.4
1   2009 124 1913000   2.4  14.7  1.11   3.0   0.6
1   2009 125  611000   9.0  13.2  1.32   4.2   8.1
1   2009 126  723000  10.6  16.1  1.53   4.8   3.7
1   2009 127 1259000   8.5  17.5  1.50   3.9   0.0
1   2009 128 1578000   7.9  17.7  1.48   4.9   1.5
1   2009 129 1949000   5.3  16.8  1.32   2.3   0.0
1   2009 130 2500000   5.2  20.4  1.48   2.7   0.0
1   2009 131 2316000   6.2  17.4  1.38   6.3   0.0
1   2009 132 2226000   5.0  17.8  1.35   6.7   0.0
1   2009 133 2078000  10.7  21.4  1.82   6.1   0.0
1   2009 134 1418000  12.8  21.2  1.94   4.1   2.3
1   2009 135  595000   8.9  17.4  1.51   2.9   8.9
1   2009 136 1552000   7.3  17.1  1.42   4.0   0.2
1   2009 137 1003000  10.0  16.3  1.51   3.7  12.8
1   2009 138 2054000   9.4  18.3  1.58   4.3   0.0
