*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 20060101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   2006   1   81000   2.3   5.3  0.80   2.4   0.0
1   2006   2  208000  -3.5   5.6  0.66   1.3   0.0
1   2006   3  379000  -4.5   4.5  0.61   1.6   0.0
1   2006   4  175000  -0.5   3.8  0.69   2.9   0.0
1   2006   5   58000  -1.3   1.9  0.62   4.6   0.0
1   2006   6  124000   1.4   2.6  0.71   3.8   0.0
1   2006   7  320000   1.1   4.0  0.73   3.4   0.0
1   2006   8  102000  -0.4   3.9  0.69   3.2   0.0
1   2006   9  389000  -2.7   2.8  0.61   2.3   0.0
1   2006  10  209000  -1.4   4.9  0.69   3.9   0.0
1   2006  11   28000   1.3   5.3  0.77   4.4   4.7
1   2006  12   93000  -0.8   4.3  0.69   2.5   0.0
1   2006  13  370000  -1.0   3.9  0.68   3.4   0.0
1   2006  14  411000  -1.4   4.6  0.69   3.5   0.0
1   2006  15  436000  -3.4   1.2  0.56   3.2   0.0
1   2006  16  338000  -3.7   4.1  0.62   4.2   0.7
1   2006  17   48000   4.1   6.8  0.90   3.9   4.9
1   2006  18  263000  -1.5   8.2  0.78   1.8   0.1
1   2006  19   87000  -1.3   9.0  0.80   3.0   1.3
1   2006  20   74000   5.0   9.8  1.03   5.2   2.5
1   2006  21  235000   3.0   8.2  0.91   4.1   0.4
1   2006  22  122000  -2.6   3.0  0.62   3.0   0.0
1   2006  23  531000  -5.3   0.3  0.51   3.4   0.0
1   2006  24  467000  -4.3   1.6  0.55   2.4   0.0
1   2006  25  308000  -7.0   6.1  0.59   3.6   0.5
1   2006  26  156000   0.3   2.2  0.67   5.3   0.0
1   2006  27  127000  -6.0   0.7  0.50   3.1   0.0
1   2006  28  582000  -6.6   2.0  0.52   3.8   0.0
1   2006  29  628000  -5.7   4.6  0.59   3.8   0.0
1   2006  30  320000   1.6   4.9  0.77   3.0   0.0
1   2006  31  513000  -3.0   3.7  0.63   2.6   0.0
1   2006  32  305000  -4.5  -1.8  0.48   1.4   0.0
1   2006  33   80000  -3.5  -1.0  0.52   1.3   0.0
1   2006  34  125000  -1.9   4.5  0.67   1.6   0.0
1   2006  35  253000   1.8   7.9  0.86   2.4   0.0
1   2006  36   79000   1.1   6.4  0.80   2.0   1.1
1   2006  37  120000   3.2   6.2  0.85   2.7   0.3
1   2006  38  177000   5.3   8.6  1.00   4.7   0.3
1   2006  39  398000   2.9   7.3  0.88   5.4  13.4
1   2006  40  533000   1.4   6.3  0.80   5.5   1.2
1   2006  41  117000   1.4   4.4  0.75   2.8   0.4
1   2006  42  267000  -1.1   5.0  0.70   1.2   0.0
1   2006  43  146000  -0.9   2.1  0.64   3.3   5.0
1   2006  44  297000   1.1   3.9  0.73   3.8   0.0
1   2006  45  344000   2.9   8.7  0.92   4.0   0.4
1   2006  46  251000   4.8  10.5  1.05   5.4  13.9
1   2006  47  326000   4.6   9.8  1.02   3.8   4.6
1   2006  48  114000   3.2   6.9  0.88   4.3   5.3
1   2006  49  422000   0.9   7.0  0.81   2.4   0.3
1   2006  50  557000   0.8   8.8  0.86   3.5   0.0
1   2006  51  173000   2.5   4.3  0.78   5.8   0.0
1   2006  52  196000   1.9   3.6  0.74   5.3   1.4
1   2006  53  126000   0.3   3.2  0.69   5.1   0.0
