*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 20030101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   2003   1   28000  -0.9  10.9  0.87   4.7  16.9
1   2003   2   37000   7.1  10.3  1.12   4.0  18.9
1   2003   3   65000   0.9   8.4  0.85   2.9   2.8
1   2003   4  165000  -5.7   1.0  0.51   3.9   0.0
1   2003   5  158000  -7.5   0.0  0.46   2.2   0.4
1   2003   6  315000  -2.6   0.7  0.57   3.6   0.9
1   2003   7  375000  -8.2  -2.4  0.41   2.8   0.0
1   2003   8  232000  -8.8  -3.9  0.38   3.2   0.0
1   2003   9  451000 -10.6  -3.9  0.35   2.8   0.0
1   2003  10  292000  -8.3  -1.3  0.43   2.6   0.0
1   2003  11  491000  -9.9   1.1  0.44   1.4   0.0
1   2003  12  312000  -7.0   2.7  0.52   3.5   0.0
1   2003  13  118000   2.6   8.6  0.91   5.4   2.4
1   2003  14  155000   6.0   8.7  1.03   5.1   0.2
1   2003  15  175000   4.8   7.4  0.94   6.3   1.5
1   2003  16  381000   3.3   7.7  0.90   4.3   0.0
1   2003  17  244000   1.4   5.4  0.78   5.0   0.1
1   2003  18   92000   2.5   5.7  0.82   4.5   0.2
1   2003  19  110000   1.4   7.2  0.83   5.8   2.4
1   2003  20  127000   5.9   8.9  1.03   6.0   3.5
1   2003  21  346000   6.3   9.6  1.07   4.4   2.2
1   2003  22   26000   6.5   8.6  1.04   4.7   3.4
1   2003  23   52000  -0.3   7.6  0.79   3.6   0.7
1   2003  24  510000  -3.0   7.3  0.71   2.2   0.0
1   2003  25  214000   1.6   6.3  0.81   4.1   1.5
1   2003  26  158000   0.7   9.6  0.88   3.4   2.3
1   2003  27  209000   8.2  11.1  1.20   4.0   1.6
1   2003  28  199000   4.0   8.6  0.95   6.2   4.9
1   2003  29  337000   1.0   6.4  0.80   4.3   6.4
1   2003  30  319000  -3.6   2.4  0.58   3.2   3.4
1   2003  31  482000  -8.1  -0.7  0.44   2.2   0.0
1   2003  32  201000  -6.6   0.5  0.49   4.5   5.2
1   2003  33  158000   0.5   4.8  0.74   5.0  10.2
1   2003  34  374000   1.2   5.9  0.79   4.5   3.5
1   2003  35  291000  -0.8   4.9  0.71   4.2   6.2
1   2003  36  580000  -1.4   6.9  0.74   3.3   0.9
1   2003  37  598000  -4.4   3.7  0.60   2.5   0.0
1   2003  38  126000   2.1   6.7  0.84   3.2   0.0
1   2003  39  132000   5.8   7.9  0.99   2.9   0.3
1   2003  40  143000   3.6   6.6  0.88   3.4   0.0
1   2003  41  785000  -3.2   5.3  0.66   2.3   0.0
1   2003  42  138000  -3.7   0.4  0.54   1.7   0.0
1   2003  43  138000  -4.1  -1.6  0.49   2.3   0.0
1   2003  44  939000  -6.4   1.7  0.51   2.7   0.0
1   2003  45  878000  -6.2   4.0  0.56   3.0   0.0
1   2003  46  128000  -3.0   0.4  0.56   3.8   0.0
1   2003  47  934000  -4.9   1.6  0.54   3.7   0.0
1   2003  48  947000  -7.2   3.4  0.53   3.2   0.0
1   2003  49  971000  -7.1   4.5  0.56   3.1   0.0
1   2003  50  969000  -5.4   5.9  0.62   5.0   0.0
1   2003  51  987000  -4.5   7.1  0.67   3.0   0.0
1   2003  52  980000  -5.4   9.7  0.71   2.0   0.0
1   2003  53 1001000  -4.1   8.9  0.73   3.3   0.0
