*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 20140101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
5.180 52.000   1.9   0.00 0.00
1   2014   1  235000   4.8   9.9  1.03   5.9   1.3
1   2014   2  134000   5.5  10.3  1.07   5.1   0.8
1   2014   3  183000   5.6  12.2  1.14   6.8   8.0
1   2014   4  174000   5.9   9.3  1.04   5.0   0.7
1   2014   5  350000   4.1   8.4  0.95   4.6   0.0
1   2014   6  183000   7.0  14.5  1.29   6.7   2.3
1   2014   7  166000   9.4  12.3  1.30   6.4   0.0
1   2014   8  195000   6.2  10.0  1.08   4.8   6.6
1   2014   9   91000   6.8  12.1  1.18   6.5   2.4
1   2014  10  381000   4.6   8.8  0.98   4.7   0.0
1   2014  11  171000   3.3   7.8  0.91   4.1   0.4
1   2014  12  412000  -2.0   6.2  0.71   2.8   0.0
1   2014  13  328000   2.2   9.9  0.94   4.3   0.1
1   2014  14  121000   2.2   7.1  0.85   3.1   0.9
1   2014  15   77000   2.4   6.4  0.84   4.1   3.6
1   2014  16   87000   5.9   8.9  1.03   4.2   2.6
1   2014  17  180000   6.1   9.0  1.04   4.7   4.3
1   2014  18  351000   5.5   8.6  1.00   4.0   0.0
1   2014  19  253000   4.6   7.1  0.93   3.4   0.0
1   2014  20   56000   1.4   6.0  0.80   2.0   0.4
1   2014  21   83000   1.7   5.4  0.79   1.4   0.0
1   2014  22  317000   2.0   4.3  0.77   3.7   0.0
1   2014  23   73000   1.6   5.2  0.78   2.8   8.9
1   2014  24  178000   2.3   6.7  0.84   2.0   0.7
1   2014  25  244000   2.4   6.3  0.83   4.6   7.3
1   2014  26  248000   3.7   6.8  0.89   5.0   9.5
1   2014  27  241000   2.5   6.2  0.83   5.0   0.7
1   2014  28  363000   2.3   6.8  0.84   5.9   0.0
1   2014  29  395000  -2.1   2.5  0.62   5.7   0.0
1   2014  30  381000  -2.4   5.0  0.67   3.0   0.0
1   2014  31  554000  -3.0   7.4  0.72   3.3   0.8
1   2014  32  195000   4.3   8.4  0.96   6.0   7.0
1   2014  33  512000   2.6   8.0  0.89   4.6   0.0
1   2014  34  678000   0.5   8.2  0.83   3.7   0.0
1   2014  35  454000   2.3   9.4  0.93   4.7   0.0
1   2014  36  517000   4.0  10.4  1.02   7.0   2.1
1   2014  37  391000   5.7   9.6  1.05   6.7   5.5
1   2014  38   84000   4.4  10.3  1.03   5.6  14.3
1   2014  39  146000   4.2   9.0  0.97   6.4   5.0
1   2014  40  195000   4.4   7.6  0.93   8.5   1.4
1   2014  41  350000   2.3   9.0  0.91   2.5   0.1
1   2014  42  485000   3.9   8.3  0.94   5.2   2.0
1   2014  43  626000   3.1   9.1  0.94   6.5   2.1
1   2014  44  255000   3.1   6.9  0.87   5.1   1.9
1   2014  45  367000   2.1   8.8  0.90   5.7   7.2
1   2014  46  448000   7.5  13.4  1.26   9.9   0.0
1   2014  47  873000  -0.1   9.4  0.85   5.0   0.0
1   2014  48  441000   0.3  10.4  0.89   3.0   0.0
1   2014  49  358000   3.5   8.0  0.92   3.0   0.0
1   2014  50  441000   6.1  11.0  1.11   3.7   0.9
1   2014  51  153000   5.4  10.0  1.05   5.0   3.7
1   2014  52  671000   4.6  10.3  1.03   5.1   5.3
1   2014  53  522000   4.2  10.3  1.02   4.9   0.5
1   2014  54  768000   3.7  11.8  1.05   5.0   0.0
